PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50_Mean_Qualifier,IC50_Mean,IC50_Qualifier_1,IC50_1,Std.Err(IC50)_1,nH_1,Excluded_Points_first_point,% Activity at 100 uM_first_point,% Activity at 50 uM_first_point,% Activity at 25 uM_first_point,% Activity at 12.5 uM_first_point,% Activity at 6.25 uM_first_point,% Activity at 3.125 uM_first_point,IC50_Qualifier_2,IC50_2,Std.Err(IC50)_2,nH_2,Excluded_Points_second_point,% Activity at 100 uM_second_point,% Activity at 50 uM_second_point,% Activity at 25 uM_second_point,% Activity at 12.5 uM_second_point,% Activity at 6.25 uM_second_point,% Activity at 3.125 uM_second_point
649,85271783,4846781,CC1=C(C=C(C=C1)NC(=O)COC2=C(C=C(C=C2)Br)CO)S(=O)(=O)N3CCOCC3,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-3.40621,-1.56379,-4.17471,-6.91371,-1.8101,7.06505,>,100,,,"0,0,0,0,0,0",3.37203,3.49334,0.284945,8.27487,4.42736,1.37973
650,85270081,9267847,CCCOC1=C(C=C(C(=C1)C)S(=O)(=O)NCC2=CC=CS2)C,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",15.5284,-10.6084,-3.9678,-4.48999,-3.86928,-2.45051,>,100,,,"0,0,0,0,0,0",-2.9994,3.24381,3.76457,-9.70615,-1.94407,-16.2551
651,85271720,4788666,C1CCN(C1)C(=O)C2CCN(CC2)S(=O)(=O)C3=C(C=CC=C3Cl)Cl,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-0.351931,0.613622,3.2935,3.32405,11.079,3.3477,>,100,,,"0,0,0,0,0,0",2.39561,7.52134,3.59099,7.98687,5.4383,-2.44707
652,85268785,2575671,C1COCCN1C(=O)CNC(=O)C2=CC(=C(C=C2)Cl)Cl,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-5.00232,-16.1652,-16.1554,-8.95318,-4.09589,3.70633,>,100,,,"0,0,0,0,0,0",-10.6333,6.01528,-9.30178,-7.00372,-15.0913,-6.47113
653,57258814,25162781,CN(C)C(CNC(=O)C1=CC(=CC=C1)S(=O)(=O)N2CCN(CC2)C3=CC=C(C=C3)F)C4=CC=CC=C4,Inactive,41,,,=,63.4,=,59.783,4.91,1.021,"0,0,0,0,0,0",64.5338,41.5735,33.2412,14.2209,9.53015,5.59702,=,67.047,9.03,0.873,"0,0,0,0,0,0",54.7951,45.8781,35.4856,15.1454,10.4753,3.0071
654,92764784,378196,C1CN(CCN1CCOCCO)C2=C(C3=C(C(=O)C=CC3=O)C(=C2Br)O)O.Cl,Inactive,41,,,=,79.6,>,100,,,"0,0,0,0,0,0",48.7323,29.9929,21.5069,0.337752,2.18017,1.41167,=,79.607,7.51,1.475,"0,0,0,0,0,0",61.134,28.0056,19.1043,5.29727,7.29056,-0.622441
655,89852196,230761,CN(C)CC(C1=CC=C(C=C1)C=CC2=CC=C(C=C2)Cl)O,Inactive,41,,,=,58.1,=,55.484,19.3,0.521,"0,0,0,0,0,0",48.4496,53.0389,47.6131,35.6413,20.8812,11.5302,=,60.718,31.3,0.424,"0,0,0,0,0,0",51.0137,52.2111,34.7005,48.328,21.8935,18.261
656,103051145,25332065,C1CCN(CC1)C2=C(C=C(C=C2)C(F)(F)F)NC(=O)C3=COCCO3,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",5.20391,7.89562,-2.68697,8.39317,9.17743,-12.2439,>,100,,,"0,0,0,1,0,0",6.0429,5.08028,1.94191,,-0.632298,-1.14517
657,103163484,49795756,C1C(OC2=NC=CC(=C21)C3=CC4=C(C=C3)OCO4)C(=O)NC5=CC(=CC=C5)OC6=CC=CC=C6,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",35.6896,24.4971,9.89568,10.3804,8.01483,4.37728,>,100,,,"0,0,0,0,0,0",37.397,28.5954,10.9309,-1.33256,4.5536,-3.44322
658,99456513,46943898,C1=CC(=C(C=C1C2=C3C=COC3=C(C=C2)C(=O)NCC4=CC=NC=C4)F)F,Active,54,,,=,20.2,=,20.953,1.12,1.133,"0,0,0,0,0,0",87.6208,77.8319,55.5358,30.6636,29.5314,10.8264,=,19.415,2.14,1.134,"0,0,0,0,0,0",84.3798,76.0455,54.1158,32.7062,21.3088,13.0051
659,99456962,46944200,C1=CC=C(C=C1)C2=CC(=C(C=C2)C3=CC(=C(N=C3)N)C4=CC=CC=C4F)F,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",19.2674,28.1386,-1.2091,10.7499,1.24418,-0.854406,>,100,,,"0,0,0,0,0,0",31.9931,23.659,14.813,10.134,13.2014,-9.45958
660,103074114,49789588,CC1(C2=C(C=CC(=C2)C3=CC(=CC=C3)C(F)(F)F)NC1=O)CC4=CC=C(O4)C(=O)OC,Inactive,41,,,=,79.3,=,79.27,17.6,0.9,"0,0,0,0,0,0",45.2676,35.962,22.4991,12.3117,-3.07829,-0.267374,>,100,,,"0,0,0,0,0,0",50.3974,42.3134,34.3457,11.212,9.65824,-3.06137
661,103163371,49795678,C1CC1CNC(=O)C2=C3C(=C(C=C2)C4=CNN=C4)C=CO3,Inactive,41,,,=,100,<,100,,,"0,0,0,0,0,0",31.7791,37.8749,29.8204,19.9167,0.810667,6.26503,>,100,,,"0,0,0,0,0,0",39.5303,33.3641,33.3286,17.1939,3.4825,16.7698
662,99454162,46942527,C1CN(CCC1C(=O)NC(C2=CC=C(C=C2)C3=CC=CC=C3)C4=NC=CN=C4)CC5=CC=CS5,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",9.55281,11.7125,-6.09595,13.3224,-0.0366448,4.13689,>,100,,,"0,0,0,0,0,1",14.3534,1.56712,12.9548,7.87345,3.90562,
663,103060157,49786421,C1=CSC(=C1)CNC(=O)C2=CSC(=N2)[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",2.7122,-3.1796,3.20483,-0.499713,-3.3471,3.60681,>,100,,,"0,0,0,0,0,0",-4.72539,1.48822,3.14518,-9.51876,-3.26569,-8.08864
664,121284358,51359828,C1=CC=C2C(=C1)C=CN3C2=NC(=C3CC4=CC=CC=C4C(F)(F)F)C5=CC=C(C=C5)C#N,Inactive,41,,,>,100,>,100,,,"1,1,0,0,0,0",,,28.511,18.1176,26.4794,7.23353,>,100,,,"1,1,0,0,0,0",,,24.4973,6.47983,-4.65635,10.8511
665,121284698,51360065,C1=CC=C(C=C1)CC2=C(N=C3N2C=C(C=C3)Br)C4=CC(=CC=C4)Cl,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",46.2111,25.0893,12.3164,6.71331,8.45622,-9.08126,>,100,,,"0,0,0,0,0,0",39.9791,30.1951,21.1183,3.39176,5.35644,7.09725
666,121286026,1084720,CN1C2=CN(C(=C2C(=O)N(C1=O)C)C3=CC=CC=C3)C4=CC=C(C=C4)N,Inactive,41,,,=,73.6,=,47.208,6.47,1.297,"1,0,0,0,0,0",,43.1066,37.3566,19.0116,12.9597,18.9623,>,100,,,"1,0,0,0,0,0",,48.4348,36.6108,14.5392,1.81563,1.08654
667,121286112,361741,CCOC(=O)C1=C2NC(=O)CN2C(=C1C)C,Inactive,41,,,>,100,>,100,,,"1,1,0,0,0,0",,,27.8706,20.9335,4.39009,13.1953,>,100,,,"1,1,0,0,0,0",,,3.37203,26.0557,20.7573,17.0726
668,125305745,53383077,CC(C)NC(=O)C1(CSCC(=O)N1CCCN2CCOCC2)C,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",9.29074,14.3608,7.05619,-4.77571,-7.58368,1.55946,>,100,,,"0,0,0,0,0,0",2.46465,-4.3013,-3.88705,-9.15383,8.75618,13.5584
669,125305924,53383254,C1CCC(C1)NC(=O)C2C(=NC3=CC=CC=C3N2C(=O)C4=CC=CO4)C5=CC=C(C=C5)C(F)(F)F,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",25.6686,38.2325,29.8254,40.8434,14.3845,13.2091,>,100,,,"0,0,0,0,0,0",46.9492,19.7277,42.7871,-4.33088,14.813,-5.8399
670,858716,606801,COC1=CC(=CC(=C1OC)OC)C(=O)NC2=NC=CS2,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",2.78015,10.8874,-2.49245,-0.0672505,-11.3881,-11.7612,>,100,,,"0,0,0,0,0,0",-5.84035,-2.92173,-1.61033,-3.29642,-7.21092,-12.8411
671,866013,667274,CC1CC(CN(C1)C2=NC3=C(N2CCSC4=NN=C(S4)C)C(=O)N(C(=O)N3C)C)C,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",0.816426,3.84841,4.845,-6.86173,-1.72659,-0.27344,>,100,,,"0,0,0,0,0,0",3.10285,7.64446,0.0363254,0.272972,-4.6867,1.6041
672,864730,665971,COC1=CC=CC(=C1)C2=NOC(=N2)C3=CC=CS3,Active,44,,,=,13.7,=,12.227,1.3,5.479,"0,0,0,0,0,0",77.0766,94.377,86.4367,54.8443,-7.19556,4.45128,=,15.264,2.62,5.729,"0,0,0,0,0,0",80.0745,84.9731,93.3858,25.028,-14.4779,3.9883
673,3711708,2997736,CCN1C2=C(C=C(C=C2)S(=O)(=O)N(C)C)N=C1CCC(=O)NC3=NC4=C(S3)CCCC4,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",4.64077,-6.15479,0.335307,12.3307,4.75271,-0.862561,>,100,,,"0,0,0,0,0,0",-6.39252,-13.837,-16.7063,-10.8592,-2.62592,8.0083
674,848365,650811,C1=CC=C(C=C1)C2=NN=C(O2)C3=CC4=C(C=CC5=CC=CC=C54)OC3=O,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",2.24012,4.73405,-6.49844,-1.5695,20.3142,8.7911,>,100,,,"0,0,0,0,0,0",10.9092,3.00425,2.26474,0.854724,9.41141,18.4532
675,4258996,1121117,COC1=CC=C(C=C1)CC2=NC(=NO2)C3=CC=C(C=C3)Cl,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",9.66398,24.4371,12.8658,6.11848,4.82438,3.90438,>,100,,,"1,0,0,0,0,0",,30.5211,20.2576,3.30992,2.91551,1.36746
676,4262584,2969544,CCOC(=O)C1=C(OC2=CC=CC=C2C13C4=C(CCCC4=O)N(C3=O)CC=C)N,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-1.51059,2.05357,0.531684,-9.39493,2.6525,8.10282,>,100,,,"0,0,0,0,0,0",-3.01048,-6.05727,2.49152,1.33788,14.0595,8.39877
677,4258785,2968266,CCCC(=O)N1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=CC4=CC=CC=C4O3,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",2.87833,-2.06043,26.2417,15.3401,8.86572,1.76883,>,100,,,"0,0,0,0,0,0",11.0314,27.141,24.0104,14.7014,-0.170738,2.77747
678,850060,652571,CCOC1=CC(=C(C=C1)OCC)NC(=O)CSCC(=O)O,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-2.06043,7.33893,-8.45235,-6.12534,-3.46449,-0.194897,>,100,,,"0,0,0,0,0,0",0.0560538,-2.97103,-1.74837,-5.05154,0.598358,6.26798
679,848492,650941,C1=CC=C(C=C1)C2=NC3=C(O2)C=CC(=C3)NC(=O)C4=CN=CC=C4,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",4.28534,8.00365,-2.80665,14.0156,11.933,-11.9969,>,100,,,"0,0,0,0,0,0",8.36622,-5.76147,0.430742,11.5826,4.87572,6.93058
680,26668234,644416,CC1=CC=C(C=C1)C2CC(N3C(=C(C(=N3)C(=O)NCC4=C(N(N=C4C)C)C)Cl)N2)C(F)(F)F,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",1.92593,-12.2227,-1.31421,18.325,0.924428,-2.35499,>,100,,,"0,0,0,0,0,0",5.88145,0.677244,8.39186,-6.20517,11.0393,1.259
681,858230,659576,C1=CC=C(C=C1)C2=NOC(=N2)C3=CC=CC4=CC=CC=C43,Active,48,,,=,18.8,=,16.757,8.72,0.403,"0,0,0,0,0,0",54.5193,80.4581,50.8629,41.5509,41.9034,33.1364,=,20.752,14.8,0.423,"0,0,0,0,0,0",45.6378,64.9115,74.8871,43.155,41.5152,16.6034
682,864965,666214,CC1=NC2=NC(=CC(=O)N2N1)CSC3=NC4=CC=CC=C4S3,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-7.18575,-0.803645,-2.56117,-11.8398,3.1238,-6.71445,>,100,,,"0,0,0,0,0,0",3.5367,2.87606,12.8575,-12.634,-5.00223,3.586
683,3711975,677923,C1=CC=C(C=C1)C2=CC=C(C=C2)N3C=CN=C3,Active,55,,,=,6.11,=,5.417,0.661,1.221,"0,0,0,0,0,0",95.1733,96.1316,91.1143,73.9671,46.2206,39.7354,=,6.805,0.484,1.581,"0,0,0,0,0,0",94.1697,96.6022,89.2277,75.6966,41.3821,26.1382
684,4258388,2248084,CC1=CC(=CC(=C1OCCCCN2CCOCC2)C)Cl,Active,52,,,=,38.9,=,39.852,5.39,1.094,"0,0,0,0,0,0",67.7424,56.6102,43.3532,26.8748,15.0731,15.9694,=,38.037,3.23,0.814,"0,0,0,0,0,0",70.2154,53.6779,46.6399,19.1389,11.285,-1.74624
685,846654,649049,COC1=C(C=C2CCCCC2=C1)NC(=O)C3=CN=CC=C3,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",7.10917,6.91378,5.49794,-2.87538,10.421,4.15671,>,100,,,"0,0,0,0,0,0",2.89579,16.2583,3.39866,-6.25448,0.243398,1.03221
686,4264474,763852,C1=CC=C(C=C1)C2=NC(=NO2)C3=CC=NC=C3,Active,51,,,=,16.3,=,15.571,1.52,1.639,"0,0,0,0,0,0",84.5898,86.4622,72.6317,41.8955,15.453,4.79296,=,17.047,1.81,1.585,"0,0,0,0,0,0",84.8064,83.8263,67.484,42.4056,9.68651,5.57677
687,3715835,1917188,CCCCCN1C(=C(C2=NC3=CC=CC=C3N=C21)C(=O)NCCN4CCOCC4)N,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",13.2232,-5.12384,-13.1947,3.36926,-0.577819,-3.88669,>,100,,,"0,0,0,0,0,0",17.5165,11.8873,16.6498,-4.89377,0.667379,-9.23226
688,846945,649337,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)NCC3=CC=CC=C3,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",16.4663,6.80381,1.94556,3.86117,1.73937,-5.45767,>,100,,,"0,0,0,0,0,0",-8.68009,-3.29642,5.42986,-6.38265,-1.97515,-2.2611
689,4264254,2965107,C1CCC(C(C1)C(=O)NCCC2=CNC3=CC=CC=C32)C(=O)O,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",0.0309379,11.6552,1.16008,-9.6895,0.0407511,5.2672,>,100,,,"0,0,0,0,0,0",-8.78855,2.44222,4.77909,-4.52894,7.55473,-0.249614
690,851709,654302,CC1=NC2=NC=NN2C(=C1)NC3=CC=C(C=C3)C(=O)OC,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",6.08313,-4.49545,7.91331,-6.45917,6.84309,-4.04379,>,100,,,"0,0,0,0,0,0",3.34936,12.4769,1.80131,5.30562,-0.328499,4.68344
691,56321059,1255616,C1=CC=C(C=C1)C2=NN=C(O2)C3=CC=C(C=C3)NC(=O)C4=CC=C(O4)Br,Inactive,41,,,=,76.35,>,100,,,"0,0,0,0,0,0",1.17971,4.81063,-2.28626,5.2672,-4.51508,-3.56268,=,52.672,20.9,1.261,"0,0,0,0,0,0",50.5156,63.0361,41.2283,9.51691,-21.0546,-3.10907
692,846208,648590,COC(=O)C1=CC=C(C=C1)S(=O)(=O)N2CCCCCC2,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",4.81063,-2.62009,-3.64123,-4.98638,-1.89351,-2.10952,>,100,,,"0,0,0,0,0,0",4.69823,3.77335,-4.13453,-0.496124,-2.18221,6.19304
693,3714555,2616112,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=O)CSC3=CC4=C(C=C3)OCCO4,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",9.75922,3.14343,2.82924,9.24079,-1.82478,-0.361806,>,100,,,"0,0,0,0,0,0",8.5023,0.943464,5.67933,0.726546,6.51646,-1.87655
694,4261175,892458,C1COCCN1CC2=CC=C(C=C2)NC(=O)C3=CC4=CC=CC=C4O3,Active,54,,,=,15.4,=,16.835,1.65,1.454,"0,0,0,0,0,0",87.1206,81.311,68.6387,43.7012,28.557,18.1899,=,13.984,0.802,1.096,"0,0,0,0,0,0",85.9585,81.6786,67.9296,42.3079,11.881,9.97916
695,7972000,755952,C1COCCN1C2=C(C=C(C=C2)NCC3=CC=CS3)Cl,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",0.629872,-1.82478,-2.11935,-7.35267,0.629872,5.82294,>,100,,,"0,0,0,0,0,0",11.6566,19.0833,1.37732,2.20557,5.51762,-3.6711
696,7973057,6865336,C1=CC=C(C=C1)C2=CC3=C(S2)N=CN(C3=O)/N=C/C4=CC=CO4,Active,54,,,=,22.1,=,20.935,5.89,1.246,"0,0,0,1,0,0",76.2823,73.7746,63.9383,,22.3005,-7.94178,=,23.237,3.5,1.065,"0,0,0,0,0,0",78.0295,79.1388,43.3364,35.7026,23.8093,7.53304
697,7974854,692974,CCOC1=CC=C(C=C1)C2=NN=C(O2)C3=CC=CO3,Active,53,,,=,28.9,=,29.576,4.44,0.938,"0,0,0,0,0,0",60.6489,63.9314,57.3596,42.8927,13.7331,7.90182,=,28.296,7.83,0.789,"0,0,0,0,0,0",72.2773,66.3753,40.9618,39.9534,13.0485,9.29185
698,7972129,869146,COC1=CC=CC=C1NC(=O)C2=CC=C(C=C2)CN3CCOCC3,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-12.0067,6.77927,-8.91382,-7.65704,-7.24466,-0.568006,>,100,,,"0,0,0,0,0,0",2.51124,-20.6701,-9.58723,-12.0227,-3.326,-0.782064
699,4260344,752705,C1=CC=C(C=C1)C2=NOC(=N2)C3=CC=C(O3)Br,Active,54,,,=,14.1,=,15.251,6.7,0.959,"0,0,0,0,0,0",96.2196,83.8303,29.2373,56.9267,32.2743,39.1941,=,12.872,7.05,0.715,"0,0,0,0,0,0",96.058,93.6318,30.5649,52.5733,25.3502,31.1343
700,863828,665081,CN1C2=CC=CC=C2N=C1C3=CC=C(O3)CN4CCCCC4,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",1.64119,-2.02116,15.9332,4.12039,2.13212,8.14307,>,100,,,"0,0,0,0,0,0",-8.32512,-9.09422,4.5592,0.401159,14.9982,3.3888
701,24840879,5389406,CCCOC1=CC=C(C=C1)/C(=C/2\C(N(C(=O)C2=O)C3=NOC(=C3)C)C4=CC=C(C=C4)C(=O)OC)/O,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",2.71142,17.5552,-6.46899,1.89647,-1.77569,-3.69032,>,100,,,"0,0,0,0,0,0",-0.949689,-3.66125,4.30481,9.36407,-6.24461,12.3773
702,7974881,2259039,C1=CC=C(C=C1)C2=CC=C(C=C2)C3=NC(=NO3)C4=CN=CC=C4,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",33.0519,33.0922,34.777,37.2906,35.4575,45.9172,>,100,,,"0,0,0,0,0,0",52.5389,33.9534,44.5334,48.8798,-3.93733,30.6227
703,3717736,2367151,C1=CC=C2C(=C1)N=C(O2)SCC3=NC4=CC=CC=C4S3,Active,52,,,=,37.5,=,34.372,5.36,1.197,"0,0,0,0,0,0",68.179,69.0371,45.8181,14.9503,11.3253,4.94712,=,40.611,13.4,0.853,"0,0,0,0,0,0",84.2523,35.4897,38.6124,32.1776,18.9009,12.192
704,846707,649099,CCCOC1=CC=C(C=C1)C2=NN=C(O2)C3=CC=CO3,Inactive,41,,,=,64,>,100,,,"0,0,0,0,0,0",42.626,63.3541,82.738,61.8244,21.7831,2.4954,=,28.038,16.5,0.531,"0,0,0,0,0,0",46.9226,64.5585,59.0841,53.6561,31.5712,4.31763
705,842305,644564,CC1=C2C(=CC=C1)C=C(C(=N2)N3CCCC3)C#N,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",1.13062,-7.64722,9.39102,5.81999,-3.9947,11.9635,>,100,,,"0,0,0,0,0,0",18.2797,-5.36706,3.67474,-4.97265,9.11856,5.7651
706,4264890,681252,C1=COC(=C1)C(=O)NC2=CC(=C(C=C2)Br)Cl,Active,54,,,=,14.2,=,13.529,1.56,1.254,"1,0,0,0,0,0",,89.8683,67.9001,40.7762,29.1598,18.9602,=,14.943,1.55,1.371,"1,0,0,0,0,0",,88.3423,67.6842,36.5802,27.493,13.601
707,4246995,2852326,CC(C1COC2=CC=CC=C2O1)NCC3=C(C=C(C=C3)OC)OC.C(=O)(C(=O)O)O,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",1.40554,18.0432,-7.12683,-0.931291,1.28771,-8.49162,>,100,,,"0,0,0,0,0,0",-4.4402,-9.20267,8.28833,6.17036,-6.50098,-5.66286
708,4249202,3243186,CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)NCCN3C=CC4=CC=CC=C43,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",13.8595,2.28921,4.24508,3.08453,5.63442,-12.9689,>,100,,,"0,0,0,0,0,0",18.4956,-8.18708,-0.604583,-1.07788,3.01411,0.835005
709,4245981,3240381,CC1=CC2=CC=CC=C2N1CCNC(=O)C3CCCC3,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",14.2188,-5.64422,4.79394,2.95688,1.98484,8.31686,>,100,,,"0,0,0,0,0,0",5.30266,-6.81651,2.72817,-2.71466,-4.37118,-4.61768
710,4249671,2739035,C1CCN(C1)C2=NC3=C(S2)C=C(C=C3Cl)Cl,Active,51,,,=,27.1,=,28.939,3.61,1.668,"0,0,0,0,0,0",91.1298,69.3032,41.532,30.9155,21.9191,8.59794,=,25.273,3.04,1.194,"0,0,0,0,0,0",92.7923,75.808,35.0412,21.4895,12.8148,12.2531
711,4250691,2729567,C1CCC(CC1)C(=O)N2CCN(CC2)S(=O)(=O)C3=CC=C(C=C3)Cl,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",13.2232,-1.04912,9.46957,-5.72277,0.0112927,-3.61177,>,100,,,"0,0,0,0,0,0",2.32389,9.80976,-2.53718,2.90565,-4.81489,5.21984
712,4245072,3239587,CC1=CC(=C(C=C1)C)N2C(=NN=C2SCC(=O)N3CCC4=CC=CC=C43)CNC(=O)C5=CC=CO5,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-5.55586,1.90629,-12.7038,3.25144,3.0747,17.5905,>,100,,,"0,0,0,0,0,0",-10.3563,-3.5725,-1.15675,3.28034,-3.89789,-15.8189
713,848385,650830,CC1=CC2=C(C=C1)N(C(=C2C)C)CC(CN3C4=CC=CC=C4N=N3)O,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",22.5254,0.0800227,2.18121,9.38414,-6.69482,1.7001,>,100,,,"0,0,0,0,0,0",16.8273,15.2388,2.97467,6.03133,12.5953,3.07327
714,4242023,3236928,C1OC2=C(O1)C=C3C(=C2)C(=O)N(C(=S)N3)CC4=CC=CO4,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",4.38844,-10.5535,13.9635,3.66481,-1.72659,-0.744737,>,100,,,"0,0,0,0,0,0",-9.51821,13.178,-3.10907,2.88593,-3.71054,-0.604583
715,7971749,4287474,CC1=CC2=CC=CC=C2N1CCNC(=O)C,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",20.706,2.60342,24.9741,9.19956,10.9375,1.77865,>,100,,,"0,0,0,0,0,0",13.9264,1.61397,10.3442,4.95164,0.884307,5.56198
716,24708181,16066639,C1=CC(=CN=C1)C2=NN(N=N2)C3=CC(=C(C=C3)Cl)Cl,Inactive,41,,,=,57.3,>,100,,,"0,0,0,0,0,0",58.2082,33.6273,62.0247,41.4723,52.6823,24.1425,=,14.573,8.73,0.704,"0,0,0,0,0,0",65.2773,60.7525,66.429,81.6098,24.3841,7.46501
717,4246207,3240585,CCCCC(=O)NCC1=CC2=C(C=C1)N(C(=C2)C)C,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",18.7972,10.9983,2.9667,2.63286,12.2846,0.944064,>,100,,,"0,0,0,0,0,0",5.48606,13.2884,7.25301,4.59568,-0.160874,-5.28818
718,14746462,2860870,C1=CC=C(C=C1)CN2C(=O)C3=CC=CC=C3OC24C=CC5=CC=CC=C5O4,Inactive,41,,,>,100,>,100,,,"0,0,0,0,1,1",7.28001,0.629872,0.973522,7.58833,,,>,100,,,"0,0,0,0,0,0",2.70845,-11.9044,-16.0654,2.16613,17.2946,20.9469
719,14746286,5344884,C1=CC=C(C=C1)C(=O)/C=C/NC2=CC=CC=C2,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",27.8274,45.3703,21.2185,17.9686,16.7628,9.18188,>,100,,,"0,0,0,0,0,0",34.618,50.5403,37.6264,25.2548,16.3993,14.5663
720,14746823,2499895,C1=CC=C(C=C1)CCNC2=NN=NN2C3=CC=CC=C3,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-5.46749,-9.81713,3.01579,6.8912,0.561142,-13.2046,>,100,,,"0,0,0,0,0,0",8.28438,8.60287,-1.62018,5.31154,-0.0228315,-0.713042
721,14731124,1363889,C1=CC(=CN=C1)C2=NC3=C(O2)C=CC(=C3)NC(=O)C4=CC=C(O4)Br,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",33.3907,11.1152,4.24901,-5.60495,-5.49695,7.74345,>,100,,,"0,0,0,0,0,0",14.0822,-7.13203,-2.90201,-2.56677,-1.93571,-6.73763
722,14740316,581709,COC1=CC=CC=C1C2CN(N=C2C3=CC=CS3)C4=C(C=C(C=C4)F)F,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-5.08456,1.28771,0.72806,-0.253805,4.17439,-9.30657,>,100,,,"0,0,0,0,0,0",6.60223,6.04119,8.029,-0.831366,-3.63167,-0.0228315
723,14728978,1471762,C1=CC=C(C=C1)C2=NC(=CC(=N2)SC3=CC=CC=C3)CS(=O)(=O)C4=CC=CC=C4,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",5.90246,5.2132,4.25785,4.84304,-0.941105,-5.40857,>,100,,,"0,0,0,0,0,0",8.62259,-0.229895,10.6252,-6.6193,8.73598,8.03098
724,14729187,1479924,CC1=CC=C(C=C1)CSC2=NN=C(O2)C3=CC=CO3,Active,49,,,=,22,=,19.824,0.844,1.877,"0,0,0,0,0,0",93.2832,88.1913,60.0718,27.4867,12.4839,5.89363,=,24.102,1.73,1.593,"0,0,0,0,0,0",94.1332,72.4309,54.7732,22.7641,10.1963,9.21124
725,14729924,1487778,C1=CC=C2C(=C1)C=CC(=N2)C3=C(C=CS3)Cl,Active,53,,,=,16,=,17.039,3.92,1.189,"0,0,0,0,0,0",94.925,87.0358,72.8371,36.7666,20.9429,14.3129,=,15.045,1.2,1.548,"0,0,0,0,0,0",95.0309,91.5905,43.8691,40.7428,25.9295,19.8105
