PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50_Qualifier,IC50,Std.Err(IC50),nH,Excluded_Points_first_point,% Activity at 20 uM_first_point,% Activity at 10 uM_first_point,% Activity at 5 uM_first_point,% Activity at 2.5 uM_first_point,% Activity at 1.25 uM_first_point,% Activity at 0.625 uM_first_point,% Activity at 0.3125 uM_first_point,% Activity at 0.15625 uM_first_point,% Activity at 0.078125 uM_first_point,% Activity at 0.0390625 uM_first_point,Excluded_Points_second_point,% Activity at 20 uM_second_point,% Activity at 10 uM_second_point,% Activity at 5 uM_second_point,% Activity at 2.5 uM_second_point,% Activity at 1.25 uM_second_point,% Activity at 0.625 uM_second_point,% Activity at 0.3125 uM_second_point,% Activity at 0.15625 uM_second_point,% Activity at 0.078125 uM_second_point,% Activity at 0.0390625 uM_second_point,Excluded_Points_third_point,% Activity at 20 uM_third_point,% Activity at 10 uM_third_point,% Activity at 5 uM_third_point,% Activity at 2.5 uM_third_point,% Activity at 1.25 uM_third_point,% Activity at 0.625 uM_third_point,% Activity at 0.3125 uM_third_point,% Activity at 0.15625 uM_third_point,% Activity at 0.078125 uM_third_point,% Activity at 0.0390625 uM_third_point
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,"This qualifier is to be used with the next TID, IC50_1_Range1. If qualifier is =, the IC50 result equals the value in that column. If the qualifier is >, the IC50 result is greater than that value. If the qualifier is <, the IC50 result is smaller than that value",IC50 value determined using sigmoidal dose response equation,Standard Error of IC50 value,Hill coefficient determined using sigmoidal dose response equation,Flags to indicate which of the first dose-response points were excluded from analysis. (1) means the titration point was excluded and (0) means the point was not excluded.,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,Flags to indicate which of the first dose-response points were excluded from analysis. (1) means the titration point was excluded and (0) means the point was not excluded.,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,Flags to indicate which of the first dose-response points were excluded from analysis. (1) means the titration point was excluded and (0) means the point was not excluded.,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration
RESULT_UNIT,,,,,,,,NONE,MICROMOLAR,MICROMOLAR,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,85201188,44202272,CN(C)CCOC1=CC=C(C=C1)C2=C(SC3=CC=CC=C32)C4=CC(=CC=C4)OC,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",21.8207,17.4594,12.0025,-1.96823,4.40637,3.78026,0.177099,-4.34067,2.21194,2.35619,"0,0,0,0,0,0,0,0,0,0",19.0431,17.1678,12.9386,2.10759,1.76077,2.95467,-1.34212,-0.74978,4.98337,2.21807,"0,0,0,0,0,0,0,0,0,0",12.4813,16.3269,10.4004,2.77359,2.41143,5.04475,-0.983035,-2.24445,-2.07565,-0.584047
904,860296,135413841,CC1(CC2=C(CS1)C(=NC3=C2C4=C(S3)C(=O)NC=N4)N5CCOCC5)C,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",57.55,40.339,23.5378,11.2048,4.40542,5.58621,3.32784,-0.876247,-0.226662,2.73593,"0,0,0,0,0,0,0,0,0,0",56.8275,40.3876,19.8619,13.8699,1.28195,6.22062,2.10152,0.0769,3.05162,2.08938,"0,0,0,0,0,0,0,0,0,0",58.755,37.1396,25.4805,8.45167,6.05974,6.32382,1.87386,-1.11301,1.71299,2.81789
905,855519,68589,C1=CC(=CC=C1COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl.[N+](=O)(O)[O-],Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",10.1515,6.13259,7.68977,6.57576,2.27151,-2.77036,5.50729,4.86378,-1.18283,0.805388,"0,0,0,0,0,0,0,0,0,0",11.0136,5.24017,1.37605,6.07188,-2.82804,-2.03579,6.27526,5.91707,1.74941,2.58719,"0,0,0,0,0,0,0,0,0,0",9.23178,4.59666,2.55684,4.63308,0.280257,-1.07355,7.59567,3.11536,0.866097,0.650581
906,4240870,3235919,CCOC(=O)CSC1=NC2=CC=CC=C2C(=O)N1NC(=O)C3=CC=CC=C3,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",22.1385,13.9822,4.74843,6.95216,2.95448,2.30186,2.742,-3.41995,0.914664,4.75753,"0,0,0,0,0,0,0,0,0,0",21.5253,12.677,6.36935,6.25704,2.3049,4.65129,-5.58422,-1.21622,-4.0756,0.853955,"0,0,0,0,0,0,0,0,0,0",19.868,14.307,7.08875,-1.78081,1.41551,-0.31469,-0.0233,0.389533,2.1167,1.57943
907,4259084,974361,CC1=C(C(=NO1)C2=CC=CC=C2)C(=O)NC3=CC=CC4=NSN=C43,Active,50,,,=,15.578,0.716,1.727,"0,0,0,0,0,0,0,0,0,0",60.4275,29.0502,16.3377,5.26749,7.17678,3.5039,6.17812,2.34739,3.64353,5.2432,"0,0,0,0,0,0,0,0,0,0",63.6117,32.1858,10.7404,9.1741,6.98858,6.44221,5.62871,4.64522,1.18785,2.9818,"0,0,0,0,0,0,0,0,0,0",62.4188,28.5311,5.18553,5.64996,6.12348,5.83512,6.80949,6.95216,-1.56833,1.23339
908,26724752,3236795,C1CN(CCN1C2=CC=CC=N2)C(=O)CCCN3C(=O)C4=C(C=CC(=C4)Br)NC3=S,Active,54,,,=,19.619,0.854,0.981,"0,0,0,0,0,0,0,0,0,0",49.6942,34.5261,20.2899,11.9819,3.64656,1.64924,3.13357,-0.578774,4.48131,-0.515029,"0,0,0,0,0,0,0,0,0,0",50.0645,33.0205,20.4751,11.5691,3.87726,1.08161,3.19428,1.16054,1.38212,4.20205,"0,0,0,0,0,0,0,0,0,0",51.0784,36.6358,19.3185,14.1735,5.61049,6.78217,4.91538,-0.803396,2.8786,5.00037
909,7967271,1114153,COC1=C(C=C(C=C1)C(=O)NC2=CC3=C(C=C2)OC(=N3)C4=CC(=CC=C4)F)OC,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",27.2532,20.7877,6.17812,5.34945,-3.00713,-2.03579,2.71772,-0.824644,0.465419,0.835743,"0,0,0,0,0,0,0,0,0,0",25.9024,16.5715,4.86681,0.808424,-0.484675,-0.0263,-0.724475,2.77843,1.89815,0.0799,"0,0,0,0,0,0,0,0,0,0",26.7432,16.705,7.09483,6.9643,-1.07659,2.89681,1.13625,5.58014,2.5022,1.09072
910,7968756,1267486,CCOC(=O)C1=C(OC2=C1C=C(C=C2)O)CN3CCN(CC3)C4=CC=CC=C4,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",40.1326,22.6242,11.6844,6.83074,1.75852,-2.1572,3.7528,5.31302,3.3582,4.05331,"0,0,0,0,0,0,0,0,0,0",40.3997,27.2441,10.7495,6.07795,3.44926,-0.150776,3.28231,1.63103,3.2216,2.85735,"0,0,0,0,0,0,0,0,0,0",41.7899,23.04,8.96466,5.55889,-4.67359,5.10054,-2.26952,4.10795,5.24017,3.51907
911,14743130,949489,CCOC(=O)CSC1=C(C(=CC(=N1)C(C)(C)C)C(F)(F)F)C#N,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",27.8633,19.0271,11.2594,7.71709,9.51407,12.1063,3.31266,5.75619,2.06813,4.72111,"0,0,0,0,0,0,0,0,0,0",26.1574,18.4535,7.78083,8.44863,6.09617,11.2868,1.95279,-0.463427,-0.839822,2.399,"0,0,0,0,0,0,0,0,0,0",29.5541,14.0187,8.55487,9.46247,5.30088,9.46247,0.259009,3.00912,1.46711,1.13929
912,14718762,5430631,CC1=C(C(=NN1C)C)NC(=O)/C=C/C2=CC(=C(C=C2)OC)COC3=C(C=C(C=C3)Cl)Br,Active,49,,,=,15.596,0.678,1.809,"0,0,0,0,0,0,0,0,0,0",62.4036,33.0357,8.02064,0.602014,-1.22836,-3.21961,-2.70965,1.76459,-0.0749,-2.10864,"0,0,0,0,0,0,0,0,0,0",52.5597,32.2829,14.3374,-0.812503,-3.17104,0.501844,-1.44388,-3.14372,2.39292,-3.62939,"0,0,0,0,0,0,0,0,0,0",59.9935,41.1737,9.55353,-6.61323,-7.89722,-1.69278,-3.48673,-1.67457,-0.284336,-0.417895
913,14741581,2011765,CCCCN1C(=NC2=NC3=CC=CC=C3N=C21)C4=CC=CS4,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",29.7787,19.704,13.9944,9.19232,-0.536277,16.0555,5.35552,0.653616,2.11973,0.350072,"0,0,0,0,0,0,0,0,0,0",26.8495,26.5217,14.8898,8.25133,2.14402,7.99635,1.69781,0.447206,3.10018,1.46104,"0,0,0,0,0,0,0,0,0,0",28.2397,21.9989,12.5768,9.99367,-0.232733,9.32891,0.259009,-0.7609,-0.162918,3.42194
914,14738698,9551554,COC1=CC=C(C=C1)S(=O)(=O)N2CCN(CC2)C3=NN4C(=NN=C4C5=CC=CC=C5)C=C3,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",6.89145,9.46551,3.81655,1.26981,-1.10998,0.161875,-6.93802,-4.22738,0.243831,1.80708,"0,0,0,0,0,0,0,0,0,0",5.24017,8.60951,5.65602,-0.184166,-2.45164,3.598,-1.07962,-3.16801,-2.90999,3.13964,"0,0,0,0,0,0,0,0,0,0",4.62094,6.46042,-0.302548,-0.244875,-4.84357,2.86342,-1.51369,-2.29683,2.38989,-1.72617
915,14736067,2207202,CC1=CC(=NN1)C(=O)NNC(=S)NC(=O)/C=C/C2=CC=CC=C2Cl,Active,55,,,=,6.958,0.64,0.738,"0,0,0,0,0,0,0,0,0,0",60.124,62.179,49.7094,34.3349,21.2521,12.9896,5.64085,7.14946,4.2324,2.5538,"0,0,0,0,0,0,0,0,0,0",56.4754,57.3921,53.8285,36.9605,21.3007,5.16125,2.82699,0.535234,1.52782,-1.68975,"0,0,0,0,0,0,0,0,0,0",59.1041,59.1921,50.104,38.6118,21.759,5.93832,3.72852,7.32248,2.24722,6.97948
916,14733521,2136878,COC1=C(C=C2C(=C1)C3=NN=C(C3=CN2CC4=CC=CC=C4)C5=CC=C(C=C5)F)OC,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",19.6798,20.3567,11.3171,7.47122,1.71602,2.22294,2.05295,1.40337,-1.16158,1.81316,"0,0,0,0,0,0,0,0,0,0",21.7257,16.9813,14.4315,5.88976,5.57407,3.49175,-1.60475,-0.463427,0.71129,4.9427,"0,0,0,0,0,0,0,0,0,0",24.8157,16.4592,11.0743,8.29686,5.02769,3.01215,0.462383,-1.26478,-0.42093,0.219548
917,17510173,9596202,CCCOC1=C(C=C(C=C1)/C=N/NC(=O)CSCC2=CC=C(C=C2)[N+](=O)[O-])OCC,Active,50,,,=,19.994,0.447,1.653,"0,0,0,0,0,0,0,0,0,0",47.4601,24.239,9.78119,3.38248,1.92243,3.33391,-0.606093,-0.575738,2.28061,2.48095,"0,0,0,0,0,0,0,0,0,0",50.9327,25.526,8.27865,3.00001,-0.445214,3.83172,-2.24827,1.02698,1.07554,2.2624,"0,0,0,0,0,0,0,0,0,0",51.3152,23.899,7.57746,2.56898,1.76155,2.2624,-0.184166,-1.03409,2.01653,2.06206
918,22405821,15945086,C1=CC(=C[N+](=C1)CC(=O)NC2=CC=C(C=C2)SC(F)F)CNC(=O)C3=CC=C(C=C3)OC(F)F.[Cl-],Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",47.3357,27.2775,16.5958,10.5249,5.911,4.48434,6.3906,4.17169,-2.32415,4.43578,"0,0,0,0,0,0,0,0,0,0",50.7111,30.3129,15.0507,8.39096,8.59433,4.05028,-1.94776,2.95752,4.15955,-1.35281,"0,0,0,0,0,0,0,0,0,0",50.3651,27.8906,16.2679,13.02,7.01287,-1.16158,6.71236,-1.77777,4.01992,0.899487
919,22413420,985461,CC1=C(N=NN1C2=CC=CC=C2)C(=O)NNC(=S)NC3=CC=C(C=C3)OC,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",6.72754,1.06644,0.656652,-9.05677,-7.84562,0.344001,-3.32281,-1.41352,-1.07962,2.32918,"0,0,0,0,0,0,0,0,0,0",8.80985,8.60344,-3.24996,1.99225,-5.23818,-0.600022,1.17875,-2.31808,2.05295,4.7545,"0,0,0,0,0,0,0,0,0,0",6.42399,7.07054,2.33525,-2.55788,-9.87026,-1.04016,-4.93767,-1.56226,3.69209,0.753786
920,24826005,735344,CC1=C(SC(=N1)N)C(=O)OCC(C)C,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",22.6818,13.102,5.77744,7.70798,5.63478,0.641474,-1.52887,4.65737,5.39498,5.64388,"0,0,0,0,0,0,0,0,0,0",23.8808,13.0655,5.94439,8.55487,0.878239,-3.04052,3.04555,3.83779,3.40676,4.07759,"0,0,0,0,0,0,0,0,0,0",24.3331,11.2139,5.15518,2.84824,3.24588,2.53863,5.29481,5.12179,1.03912,2.57809
921,24790143,765959,C1=CC=C2C(=C1)C(=C(N2CCCl)O)N=NC(=S)N,Active,48,,,=,17.964,0.577,2.007,"0,0,0,0,0,0,0,0,0,0",53.1334,25.2286,6.95216,2.41721,0.435064,2.80878,2.41417,2.53559,1.26678,4.8061,"0,0,0,0,0,0,0,0,0,0",56.3236,22.5725,6.5363,1.03912,3.43105,7.50461,-1.12515,1.4398,-1.01588,3.09108,"0,0,0,0,0,0,0,0,0,0",57.7958,20.3203,9.77512,4.04421,2.13188,-4.39129,-2.76429,-0.0749,8.34543,4.712
922,24793941,2955709,CC1=C(C(=CC=C1)OCC(CN2CCN(CC2)CCN3C(=O)C4=CC=CC5=C4C(=CC=C5)C3=O)O)C,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",50.3651,27.8815,10.0483,2.80574,4.49042,-1.30121,1.07858,-3.92687,-0.0415,5.54978,"0,0,0,0,0,0,0,0,0,0",49.4028,26.3851,12.4494,5.3282,4.80307,-13.6797,3.09715,3.52818,3.54032,7.22231,"0,0,0,0,0,0,0,0,0,0",47.5785,29.3719,8.51238,5.73495,8.29686,4.31436,-2.61556,1.43069,2.55684,7.30124
923,24815014,4692800,CCOC(=O)C1=C(SC2=C1CC(NC2(C)C)(C)C)NC(=O)C3=CC=C(C=C3)C,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",2.98484,8.46077,2.70558,-0.709298,-5.32621,-1.84152,0.71129,-1.58654,1.0209,5.10965,"0,0,0,0,0,0,0,0,0,0",7.12214,8.54577,3.78923,1.36695,0.228654,2.14402,-3.04659,-2.91303,3.44926,4.26276,"0,0,0,0,0,0,0,0,0,0",7.85976,5.90797,-0.275229,-0.00507,-2.30898,0.0769,-3.13158,-0.891424,2.10759,1.18482
924,24815336,4223919,CC(C)OC1=CC=C(C=C1)C(=O)NC2=C(C3=C(S2)C(NC(C3)(C)C)(C)C)C(=O)OC,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",19.9226,25.5078,5.58925,3.52211,-0.79429,1.47319,4.2324,4.35686,3.16089,4.8061,"0,0,0,0,0,0,0,0,0,0",42.3211,14.9991,6.80646,3.8894,7.52282,-0.663766,3.90761,2.79967,2.79967,1.70995,"0,0,0,0,0,0,0,0,0,0",34.1983,26.6704,7.68067,5.33123,3.06679,3.54032,1.79191,0.729502,5.30391,3.50693
925,11532885,941651,CN1CCN(CC1)CC/C=C\2/C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)N(C)C,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",2.48702,2.13188,0.765928,-5.10158,-7.25068,-3.95722,-6.49182,-3.56868,-0.542348,0.213477,"0,0,0,0,0,0,0,0,0,0",0.762892,5.12482,4.18384,-0.0445,-2.27255,2.44149,-6.59806,-1.84759,-3.28335,11.5842,"0,0,0,0,0,0,0,0,0,0",2.28668,6.94609,4.80914,1.03608,-1.18586,-1.31942,-6.74983,-9.63653,-0.706262,-1.89919
926,26666792,65558,C1CN=C(N1)C2=CC=C(C=C2)NC(=O)C3=CC(=C(C=C3)C(=O)NC4=CC=C(C=C4)C5=NCCN5)Cl,Active,44,,,=,3.325,0.112,5.05,"0,0,0,0,0,0,0,0,0,0",96.5979,92.5425,90.6423,19.7405,-0.311655,-0.572703,-2.17238,0.228654,-2.19666,2.66308,"0,0,0,0,0,0,0,0,0,0",96.094,94.0178,88.7088,18.1196,2.29883,-0.427001,-5.60243,-1.63207,-5.60547,5.89886,"0,0,0,0,0,0,0,0,0,0",96.0697,93.6778,88.2322,19.0696,0.720396,1.94368,-21.1378,-4.1181,-3.67796,3.54336
927,24824284,4624396,CCOC1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=CC(=CC=C3)N4C(=O)CCC4=O,Active,53,,,=,15.656,0.888,1.398,"0,0,0,0,0,0,0,0,0,0",53.7921,43.3987,15.0629,4.85163,-0.496817,2.46577,8.79771,6.02028,2.52345,4.07153,"0,0,0,0,0,0,0,0,0,0",53.783,44.2486,15.1205,2.96662,-1.70189,4.66951,1.54604,1.05126,-0.700191,0.146697,"0,0,0,0,0,0,0,0,0,0",55.0821,39.2402,13.4571,3.22464,-5.28371,1.20303,2.22294,2.89074,4.13223,1.54604
928,26731779,16746000,CC(C)N1C=NC2=C1N=C(N=C2N(C)C3=CC=CC=C3)N(CCN(C)C)CC4=CC=CC=C4,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",14.908,5.96868,7.24356,3.90761,-1.3862,-0.505923,-0.18113,-0.0172,-3.1073,4.73325,"0,0,0,0,0,0,0,0,0,0",15.3816,14.735,5.29481,5.06715,4.09277,-0.669837,-2.57913,-1.12819,0.410781,1.89815,"0,0,0,0,0,0,0,0,0,0",15.7489,10.0453,3.88636,6.0567,1.85869,0.620226,-2.27255,2.2624,-1.08569,5.89583
929,49668545,22422668,CCCCN(C)CCCNC(=O)C1=CC(=NC2=CC=CC=C21)C3=CC=CS3,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",45.7937,22.9155,13.7698,8.46685,5.28874,-1.24961,-2.33933,-2.52753,0.0222,2.66004,"0,0,0,0,0,0,0,0,0,0",45.2473,26.4974,12.1063,8.68843,5.11572,-1.36799,-3.57172,-1.42263,3.83476,6.39667,"0,0,0,0,0,0,0,0,0,0",45.2595,23.6198,11.7815,4.01082,6.767,-1.9083,1.98314,-0.0992,3.52211,2.54773
930,49672331,16288242,CN(C)C(CNC(=O)C1=COC2=CC=CC=C2C1=O)C3=CC=CC=C3,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",23.7685,17.9951,9.03144,7.10393,1.79191,1.14536,1.42158,1.2516,1.02698,1.8769,"0,0,0,0,0,0,0,0,0,0",29.4721,16.4258,5.72584,4.95484,8.14205,-0.618234,-0.375399,2.60541,5.61656,0.146697,"0,0,0,0,0,0,0,0,0,0",26.4033,15.6487,7.92957,7.49247,-0.323796,1.44283,-0.69412,4.37203,-1.55315,2.49006
931,47201526,23724249,CCCCCCCCCCOC(=O)CN1C2=CC=CC=C2[N+](=C1COC3=CC=CC(=C3)C)C.[Cl-],Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",4.52077,15.2875,14.2129,7.41962,1.00876,0.638439,-5.9424,-4.92553,1.44587,1.49443,"0,0,0,0,0,0,0,0,0,0",4.87592,15.2753,14.2919,4.9518,2.35043,0.671829,-1.94169,-0.0445,2.18044,1.19696,"0,0,0,0,0,0,0,0,0,0",8.57309,14.0824,11.5933,7.16768,-2.90392,1.11804,-3.34103,1.6796,-3.7326,1.46408
932,49821504,8034751,CC1(CC2=C(CO1)SC(=C2C(=O)N)NC(=O)C(=O)N3CCCC3)C,Active,52,,,=,9.622,0.343,1.627,"0,0,0,0,0,0,0,0,0,0",70.4627,58.667,25.7233,7.67763,-1.17372,3.14875,-3.31978,0.322753,0.517021,-1.64725,"0,0,0,0,0,0,0,0,0,0",71.513,59.4805,24.4242,6.83681,-2.17238,1.38516,-3.45941,-3.85705,-2.02364,-4.9832,"0,0,0,0,0,0,0,0,0,0",71.7498,53.2336,26.4154,6.64862,4.21723,-1.97508,-1.51369,-0.360222,-1.63814,-1.66243
933,49724292,24792110,CN1CCN(CC1)C(=O)C2CCN(CC2)C3=NC=NC4=C3N=C5N4CCCCC5,Active,57,,,=,6.768,0.3,0.901,"0,0,0,0,0,0,0,0,0,0",78.1576,58.6093,39.9049,24.6093,16.1708,12.7286,6.66986,7.61692,2.99698,2.53255,"0,0,0,0,0,0,0,0,0,0",76.2877,58.239,40.682,28.2944,16.8386,13.1475,10.795,7.47729,7.28606,4.13223,"0,0,0,0,0,0,0,0,0,0",76.5002,58.3847,37.9288,27.3139,22.9186,11.4537,7.93868,3.68602,-1.01284,3.41587
934,49676691,18583053,CCCC(=O)N(CCN1CCOCC1)C2=NC3=C(C=CC=C3S2)C.Cl,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",36.2442,20.1199,9.10125,2.19562,1.54604,3.37337,-0.44825,1.27285,-0.669837,2.97269,"0,0,0,0,0,0,0,0,0,0",34.5322,16.9995,11.0712,4.81217,2.74504,3.52818,-3.01016,0.805388,-2.94338,6.83378,"0,0,0,0,0,0,0,0,0,0",37.3157,21.1762,7.18892,5.55282,-1.26478,0.738609,0.292399,0.608085,2.95448,-1.12819
935,49724193,20912561,CC1=C(C=C(C=C1)NC(=O)C2CCN(CC2)C3=NC=NC4=C3N=C5N4CCCCC5)Cl,Active,54,,,=,16.011,0.419,1.179,"0,0,0,0,0,0,0,0,0,0",53.8042,38.0958,22.6727,8.15419,4.40542,2.92413,0.756821,0.696112,-0.402718,-0.00811,"0,0,0,0,0,0,0,0,0,0",56.958,37.6891,20.4234,9.71441,3.74066,2.08938,0.856991,1.58246,2.01957,-1.08266,"0,0,0,0,0,0,0,0,0,0",56.4997,38.0047,16.9114,6.70325,8.86752,4.3265,-0.921779,-0.685014,2.52345,0.213477
936,49720145,20953588,COC1=CC=C(C=C1)C2=NN3C=NN(C(=O)C3=C2)CC(=O)NCCCN4CCC(CC4)CC5=CC=CC=C5,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",16.0949,12.1731,6.42399,1.33659,4.05635,1.54907,2.23508,1.0634,3.48872,-2.99499,"0,0,0,0,0,0,0,0,0,0",18.1287,11.6419,8.46077,1.87993,5.01251,1.01483,-2.53663,0.680935,-0.445214,-2.19059,"0,0,0,0,0,0,0,0,0,0",17.3212,14.2311,7.39837,0.887345,4.98216,2.66004,4.25365,3.97743,-0.496817,-0.287371
937,49715003,20877886,CC1CC(CN(C1)CCCNC(=O)C2=CC3=C(S2)C4=CC=CC=C4OC3)C,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",35.461,22.4147,21.3462,14.1158,10.1667,10.6554,7.37409,4.96091,2.18651,3.42194,"0,0,0,0,0,0,0,0,0,0",33.8371,25.3894,16.6534,15.5303,6.99466,10.3852,7.92957,5.92011,7.32248,3.64353,"0,0,0,0,0,0,0,0,0,0",34.1072,25.6626,16.9721,15.0264,13.2902,12.8136,8.7886,3.69209,4.66344,4.9002
938,49716971,18592741,CC1CCCCN1CCNC(=O)C2=CC3=C(C=C2)C(=O)N(C(=S)N3)CC4=CC=C(C=C4)Cl,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",22.7152,18.8815,9.73263,4.79396,3.33088,0.674864,-3.56565,1.99225,1.37302,3.92886,"0,0,0,0,0,0,0,0,0,0",27.6023,19.182,16.447,6.80039,-0.539313,6.22669,-1.20408,-3.81152,0.501844,0.762892,"0,0,0,0,0,0,0,0,0,0",22.8852,17.6035,11.8331,3.37944,1.05126,4.10795,-2.70965,-0.551454,2.28668,5.91404
939,49722612,20953695,CCC1=CC=C(C=C1)C2=NN3C(=NN(C(=O)C3=C2)CC(=O)NCCCN4CCC(CC4)CC5=CC=CC=C5)C,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",-2.36665,6.3906,8.72486,5.85333,3.34605,2.11063,-0.845893,-0.290407,-0.833751,2.20776,"0,0,0,0,0,0,0,0,0,0",6.14777,11.5114,11.5782,5.87154,3.7012,-1.44084,-2.35147,-3.6901,1.80405,4.11402,"0,0,0,0,0,0,0,0,0,0",-2.27559,9.85101,12.7741,7.70191,4.58755,1.16661,1.51872,-2.58824,-2.70965,-2.87964
940,49717782,20912360,C1CCC2=NC3=C(N2CC1)N=CN=C3N4CCCC(C4)C(=O)NCC5CCN(CC5)CC6=CC=C(C=C6)F,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",61.4353,38.7697,18.7873,9.2682,3.96832,4.01385,2.25329,1.7828,-1.42263,1.03001,"0,0,0,0,0,0,0,0,0,0",61.5567,38.0503,19.4035,14.1522,3.20946,2.05295,4.59362,3.74066,0.0678,1.22731,"0,0,0,0,0,0,0,0,0,0",63.9608,42.7613,21.6134,13.1809,5.24928,3.59192,3.68602,-3.14069,-0.563596,0.140626
941,49721602,22512767,CC1=CC(=C(C=C1)C)N2CCN(CC2)CCCNC(=O)CCC(=O)N3CCOC4=C3C=C(C=C4)Cl,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",22.2963,18.6386,4.04724,5.61656,2.12277,0.565588,-0.575738,-1.0432,1.53693,4.03813,"0,0,0,0,0,0,0,0,0,0",15.3178,12.8561,5.20982,4.91234,-1.65029,-0.58788,-2.33933,-2.13292,0.0101,2.28972,"0,0,0,0,0,0,0,0,0,0",12.0153,13.7758,7.94475,-2.2422,-0.235768,0.225619,-2.43039,-6.82571,0.201335,2.10456
