PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AC50_Qualifier,AC50_uM,pAC50_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AC50_Qualifier_TEST1,AC50_uM_TEST1,pAC50_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_2.35uM_(%)_TEST1,Activity_at_4.6uM_(%)_TEST1,Activity_at_6uM_(%)_TEST1,Activity_at_9uM_(%)_TEST1,Activity_at_12uM_(%)_TEST1,Activity_at_18uM_(%)_TEST1,Activity_at_19.5uM_(%)_TEST1,Activity_at_23.5uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AC50_Qualifier_TEST2,AC50_uM_TEST2,pAC50_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_2.35uM_(%)_TEST2,Activity_at_4.6uM_(%)_TEST2,Activity_at_6uM_(%)_TEST2,Activity_at_9uM_(%)_TEST2,Activity_at_12uM_(%)_TEST2,Activity_at_18uM_(%)_TEST2,Activity_at_19.5uM_(%)_TEST2,Activity_at_23.5uM_(%)_TEST2,ACTIVITY_OUTCOME_TEST3,ACTIVITY_SCORE_TEST3,ASSAYDATA_COMMENT_TEST3,AC50_Qualifier_TEST3,AC50_uM_TEST3,pAC50_M_TEST3,Hill_Slope_TEST3,S0_(%)_TEST3,Sinf_(%)_TEST3,Num_Points_TEST3,Max_Activity_(%)_TEST3,Max_Activity_Conc_uM_TEST3,Max_Concentration_uM_TEST3,Activity_at_0.15uM_(%)_TEST3,Activity_at_0.285uM_(%)_TEST3,Activity_at_0.3uM_(%)_TEST3,Activity_at_0.6uM_(%)_TEST3,Activity_at_1.2uM_(%)_TEST3,Activity_at_2.35uM_(%)_TEST3,Activity_at_4.6uM_(%)_TEST3,Activity_at_9uM_(%)_TEST3,Activity_at_18uM_(%)_TEST3,Activity_at_19.5uM_(%)_TEST3,ACTIVITY_OUTCOME_TEST4,ACTIVITY_SCORE_TEST4,ASSAYDATA_COMMENT_TEST4,AC50_Qualifier_TEST4,AC50_uM_TEST4,pAC50_M_TEST4,Hill_Slope_TEST4,S0_(%)_TEST4,Sinf_(%)_TEST4,Num_Points_TEST4,Max_Activity_(%)_TEST4,Max_Activity_Conc_uM_TEST4,Max_Concentration_uM_TEST4,Activity_at_0.15uM_(%)_TEST4,Activity_at_0.285uM_(%)_TEST4,Activity_at_0.3uM_(%)_TEST4,Activity_at_0.6uM_(%)_TEST4,Activity_at_1.2uM_(%)_TEST4,Activity_at_2.35uM_(%)_TEST4,Activity_at_4.6uM_(%)_TEST4,Activity_at_9uM_(%)_TEST4,Activity_at_18uM_(%)_TEST4,Activity_at_19.5uM_(%)_TEST4,ACTIVITY_OUTCOME_TEST5,ACTIVITY_SCORE_TEST5,ASSAYDATA_COMMENT_TEST5,AC50_Qualifier_TEST5,AC50_uM_TEST5,pAC50_M_TEST5,Hill_Slope_TEST5,S0_(%)_TEST5,Sinf_(%)_TEST5,Num_Points_TEST5,Max_Activity_(%)_TEST5,Max_Activity_Conc_uM_TEST5,Max_Concentration_uM_TEST5,Activity_at_0.15uM_(%)_TEST5,Activity_at_0.285uM_(%)_TEST5,Activity_at_0.3uM_(%)_TEST5,Activity_at_0.6uM_(%)_TEST5,Activity_at_1.2uM_(%)_TEST5,Activity_at_2.35uM_(%)_TEST5,Activity_at_4.6uM_(%)_TEST5,Activity_at_9uM_(%)_TEST5,Activity_at_18uM_(%)_TEST5,Activity_at_19.5uM_(%)_TEST5,ACTIVITY_OUTCOME_TEST6,ACTIVITY_SCORE_TEST6,ASSAYDATA_COMMENT_TEST6,AC50_Qualifier_TEST6,AC50_uM_TEST6,pAC50_M_TEST6,Hill_Slope_TEST6,S0_(%)_TEST6,Sinf_(%)_TEST6,Num_Points_TEST6,Max_Activity_(%)_TEST6,Max_Activity_Conc_uM_TEST6,Max_Concentration_uM_TEST6,Activity_at_0.15uM_(%)_TEST6,Activity_at_0.285uM_(%)_TEST6,Activity_at_0.3uM_(%)_TEST6,Activity_at_0.6uM_(%)_TEST6,Activity_at_1.2uM_(%)_TEST6,Activity_at_2.35uM_(%)_TEST6,Activity_at_4.6uM_(%)_TEST6,Activity_at_9uM_(%)_TEST6,Activity_at_18uM_(%)_TEST6,Activity_at_19.5uM_(%)_TEST6
768,49677692,24761851,CN(C)CCN(C1=NC2=C(C=CC(=C2S1)OC)OC)C(=O)C3=CC4=CC=CC=C4C=C3OC.Cl,Active,51,,,=,7.36,5.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.65,5.177,1.2,1.478,-100,8,-83.997,18,18,1.295,-1.806,,-6.344,-10.321,-15.589,-32.959,-61.197,-83.997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,,=,8.07,5.093,0.951,9.031,-100,8,-70.296,18,18,3.619,11.034,,-4.133,-4.668,-14.15,-40.36,-37.49,-70.296,
769,24833214,16196430,CCC(C)[C@@H](C1=CN(N=N1)[C@@H](CCCCN)C(=O)N2CCN(CC2)C3=NC(=NC(=N3)NCCOCCOCCOCC#C)N4CCN(CC4)C(=O)[C@H](CC5=CC=C(C=C5)O)N6C=C(N=N6)[C@H](CC(C)C)N)N.Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-6.93529,-6.93529,8,-23.977,18,18,-13.028,-10.887,,-3.631,0.028,-0.545,5.963,-9.404,-23.977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
770,24807880,145758,C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)NCCO,Active,50,,,=,9.09,5.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,13.36,4.874,1.2,10.783,-100,8,-59.622,18,18,16.003,2.818,,9.748,1.267,-5.511,0.603,-33.781,-59.622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,53,,=,4.82,5.317,0.8,3.616,-100,8,-72.419,18,18,-4.187,-2.38,,-11.509,-27.018,-35.915,-44.803,-59.992,-72.419,
771,24820443,16195162,C1=CC(=CC=C1N)OCC(C[N+]2=CC=C(C=C2)CCS(=O)(=O)[O-])O.Br,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,36,4.444,1.2,6.322,-100,8,-18.738,18,18,7.45,0.413,,7.608,9.208,1.091,-0.01,-0.452,-18.738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,56463673,359247,CC(CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2.OP(=O)(O)O,Active,53,,,=,5.55,5.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,,=,7.75,5.111,1.2,-6.7,-100,8,-83.788,18,18,-9.102,-8.792,,-13.913,-10.801,-21.912,-38.142,-54.483,-83.788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,55,,=,3.36,5.474,0.83,-12.019,-100,8,-82.676,18,18,-20.292,-22.222,,-23.223,-41.3,-50.054,-64.113,-70.061,-82.676,
773,56422901,441325,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I.Cl,Inconclusive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,,=,7.12,5.148,0.995,11.766,-100,8,-61.741,9,18,9.739,8.015,,-0.33,-8.493,-2.324,-36.228,-61.741,-59.188,,2,50,,=,11.04,4.957,1.006,15,-100,8,-50.325,18,18,26.075,19.204,,17.744,12.97,-4.659,-39.456,-30.576,-50.325,,2,51,,=,8.58,5.067,1.2,15,-100,8,-55.665,18,18,12.212,22.527,,21.881,20.733,2.259,-34.338,-52.755,-55.665,,1,0,,,,,,11.9134,11.9134,8,22.184,0.6,18,15.642,5.366,,22.184,19.988,2.165,4.904,10.969,14.089,
774,85273689,6852399,CN1CCC2=C3[C@H]1CC4=C(C3=CC=C2)C(=C(C=C4)O)O.O.Cl,Active,52,,,=,7.1,5.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,11.37,4.944,1.2,4.573,-100,8,-64.761,18,18,0.537,,3.337,7.921,-3.623,-9.713,-22.804,-36.51,-64.761,,2,55,,=,3.33,5.478,0.873,-10,-100,8,-95.647,18,18,-31.131,,-25.613,-30.42,-33.225,-37.777,-54.991,-78.074,-95.647,,2,53,,=,5.27,5.278,1.031,5.203,-100,8,-77.8,18,18,2.65,,1.091,-8.533,-10.51,-25.378,-48.179,-58.182,-77.8,,2,51,,=,8.42,5.075,1.2,4.811,-100,8,-75.008,18,18,1.11,,8.837,-4.26,-4.865,-9.722,-26.564,-49.73,-75.008,
775,26664759,16682411,CN1CCN(CC1)C2CC3=CC=CC=C3SC4=C2C=C(C=C4)SC.C(=C\C(=O)[O-])\C(=O)[O-],Inconclusive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,46,,=,26.67,4.574,1.2,7.479,-100,8,-40.245,18,18,5.375,,1.178,10.404,4.56,3.344,-3.868,-6.626,-40.245,,2,49,,=,13.27,4.877,1.2,-0.622,-100,8,-63.791,18,18,1.682,,-9.841,-4.148,-2.047,-9.412,-20.095,-36.602,-63.791,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,36,4.444,0.8,10.996,-100,8,-25.22,18,18,14.586,,16.872,-1.641,6.729,-9.492,1.271,-6.296,-25.22,
776,93577022,34065,CC(CC(=O)C1=CC=C(C=C1)F)N2CCN(CC2)C3=CC=CC=C3,Active,45,,,=,34.3,4.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,45,,=,32.97,4.482,0.815,-0.357,-100,8,-39.171,18,18,-1.914,-0.318,,-3.885,-7.215,-16.301,-12.091,-25.647,-39.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,44,,=,35.63,4.448,0.93,1.549,-100,8,-32.03,18,18,-5.007,7.438,,1.463,-8.63,-4.273,-7.271,-25.36,-32.03,
777,51086063,24891957,CN(C)CCCN(C1=NC2=C(S1)C=CC(=C2)OC)C(=O)C3=CC=C(C=C3)S(=O)(=O)N(C)C4CCCCC4.Cl,Inconclusive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,46,,=,27.59,4.559,0.824,4.462,-100,8,-37.686,9,18,0.126,-2.011,,3.831,4.372,-10.722,-9.2,-37.686,-32.539,,2,50,,=,11.01,4.958,1.2,15,-100,8,-58.805,18,18,30.102,29.418,,25.127,26.863,19.279,-9.072,-55.236,-58.805,,2,49,,=,11.4,4.943,1.2,10.834,-100,8,-59.333,18,18,4.774,0.513,,9.148,10.778,10.322,-14.244,-46.47,-59.333,,1,0,,>,36,4.444,0.8,3.787,-100,8,-22.921,2.35,18,14.521,0.891,,8.293,-2.611,-22.921,-8.446,-18.568,-17.551,
778,14742571,2997137,CCN(CC)CCN1C2=C(C=C(C=C2)Cl)C3=C1SC(=N3)C.Cl,Active,53,,,=,5.39,5.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.69,5.175,0.816,8.727,-100,8,-70.008,18,18,3.018,4.076,,-4.114,-17.098,-24.95,-34.214,-49.371,-70.008,,2,55,,=,3.2,5.495,0.8,0,-100,8,-69.69,18,18,-16.615,-14.862,,-24.544,-42.3,-44.985,-54.401,-62.236,-69.69,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.29,5.201,0.895,-0.33,-100,8,-74.208,18,18,-6.882,-5.055,,-3.354,-26.461,-27.492,-45.473,-53.909,-74.208,
779,22401123,15944744,CCN(CC)CCOC(=O)C1=CC=C(C=C1)NC(=O)/C=C/C2=CC=CS2.Cl,Inconclusive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,36,4.444,0.8,3.674,-100,8,-16.022,18,18,1.56,6.582,,5.176,3.894,-7.634,-11.918,-4.989,-16.022,,1,0,,,,,,-11.5121,-11.5121,7,-22.332,0.15,18,-22.332,-12.561,,-15.921,-7.7,-7.315,-10.528,,-4.227,,1,0,,>,36,4.444,1.2,-2.153,-100,8,-34.231,18,18,-1.085,-6.133,,-1.918,-2.612,-7.828,-9.549,-8.971,-34.231,,2,54,,=,3.73,5.428,1,0,-21.949,8,-19.702,18,18,-4.824,-1.098,,-6.12,-3.872,-9.566,-10.645,-14.258,-19.702,
780,24781871,16187674,CCN(CCN(C)C)C(=O)C1=C(C2=C(C=C1)C(=O)C3=CC=CC=C3C2=O)NCCO,Active,52,,,=,6.06,5.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50,,=,10.71,4.970,1.2,-5.806,-100,8,-71.456,18,18,-10.796,-4.698,,-11.694,-9.781,-15.951,-25.786,-49.627,-71.456,,2,52,,=,7.04,5.152,1.2,7.073,-100,8,-72.858,18,18,2.998,-5.774,,10.525,5.274,-17.15,-31.437,-59.968,-72.858,,2,67,,=,0.221,6.656,0.8,0,-80,7,-90.714,18,18,-44.989,-52.213,,,-44.756,-55.268,-65.08,-72.764,-90.714,,2,52,,=,6.26,5.203,1.044,11.237,-100,8,-70.478,18,18,2.074,16.466,,-0.637,-5.274,-16.114,-38.12,-55.285,-70.478,
781,49677749,24761854,CC1=C2C(=C(C=C1)OC)N=C(S2)N(CCN(C)C)C(=O)C3=CC4=CC=CC=C4C=C3.Cl,Active,49,,,=,14.11,4.851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,47,,=,19.81,4.703,1.2,-2.817,-100,8,-47.619,18,18,-2.315,-6.83,,-5.673,-1.279,-9.294,-17.336,-31.738,-47.619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,,=,8.4,5.076,1.2,-3.036,-100,8,-81.047,18,18,-3.593,-6.766,,-8.995,-14.136,-11.507,-29.618,-53.38,-81.047,
782,49667019,24213405,CCN(CC)CC(CN1C(=C(C2=C1C=CC(=C2)[N+](=O)[O-])C3=CC=CC=C3)C)O.Cl,Active,51,,,=,8.3,5.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,12.58,4.900,0.809,15.336,-100,8,-47.438,18,18,11.063,6.335,,8.064,8.991,-10.75,-23.831,-36.575,-47.438,,2,52,,=,6.59,5.181,0.8,-0.29,-100,8,-73.711,9,18,-11.092,-5.57,,-6.196,-22.691,-27.704,-47.197,-73.711,-48.764,,2,59,,=,1.25,5.903,1.2,15,-65,7,-53.07,4.6,18,0.345,2.908,,-12.426,-19.125,,-53.07,-43.092,-52.046,,2,49,,=,12.79,4.893,0.972,14.841,-100,8,-48.071,18,18,16.427,9.369,,-2.196,17.192,0.358,-21.694,-36.762,-48.071,
783,121282612,44620163,C[C@H]1CCCCO[C@@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC3=CC=C(C=C3)OC)[C@H](C)CO)C)CN(C)CC4=CC5=C(C=C4)OCO5,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-2.66066,-2.66066,8,-11.798,0.15,18,-11.798,,-11.651,-5.912,-5.553,-5.649,5.271,2.295,11.71,,1,0,,,,,,1.34122,1.34122,6,14.019,0.3,9,-2.766,,14.019,2.385,-2.352,,1.276,-4.515,,,1,0,,,,,,8.22289,8.22289,8,42.514,18,18,-7.93,,-1.545,-3.294,-8.333,4.485,21.538,18.348,42.514,,1,0,,,,,,-1.50835,-1.50835,6,-11.225,0.15,4.6,-11.225,,3.964,0.586,1.226,-9.459,5.858,,,
784,24808705,16192927,CC[N+]1=C(SC2=CC=CC=C21)C=C3C=C(OC(=C3)C)C.[Cl-],Active,51,,,=,8.17,5.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,12.09,4.918,0.989,11.008,-100,8,-53.017,18,18,5.464,11.491,,9.003,-4.525,-2.609,-20.399,-39.818,-53.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,54,,=,4.25,5.372,1.005,7.368,-100,8,-76.429,18,18,4.582,-3.626,,-3.636,-12.497,-30.051,-54.652,-64.547,-76.429,
785,49667251,15995385,CCN(CC)CCNC(=O)C1=CC2=C(S1)N(N=C2C3=CC(=CC=C3)OC)C,Active,54,,,=,3.79,5.421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,53,,=,5.6,5.252,0.826,7.844,-100,8,-67.519,18,18,2.488,-1.965,,-4.794,-16.458,-25.901,-42.524,-59.41,-67.519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,57,,=,1.98,5.703,1.2,11.525,-68.475,8,-60.087,4.6,18,5.226,0.183,,0.143,-3.444,-37.022,-60.087,-56.446,-57.031,
786,103073973,49789494,COC1=CC=CC(=C1)CNC2=NC(=NC3=C2SC(=C3)C4=CC=CC=C4)NCC=C,Inconclusive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,7.50632,7.50632,8,14.237,18,18,3.582,6.089,,7.782,4.823,6.465,5.949,11.125,14.237,,2,53,,=,5.17,5.287,1.2,4.568,-100,7,-83.593,18,18,0.684,0.571,,,-5.177,-27.393,-30.835,-77.964,-83.593,,2,52,,=,6.41,5.193,1.2,11.444,-100,8,-71.278,9,18,5.075,2.449,,8.503,10.904,-10.527,-34.368,-71.278,-62.874,,1,0,,,,,,19.51,19.51,8,39.893,18,18,10.553,-0.054,,22.195,22.474,14.058,21.287,25.674,39.893,
787,92764839,386513,CN(C)CCNC(=O)C1=CC=C(C2=CC3=CC=CC=C3N=C12)Cl.Cl,Active,61,,,=,0.846,6.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,60,,=,1.08,5.967,1.2,-2.879,-99.169,8,-93.706,9,18,-17.409,,-15.329,-27.93,-52.82,-78.904,-89.063,-93.706,-89.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,62,,=,0.611,6.214,1.2,0,-107.368,8,-104.655,4.6,18,-10.616,,-32.722,-52.154,-75.318,-92.029,-104.655,-101.201,-101.671,
788,17432563,9584792,C/C(=N\NC(=O)NC1=CC=CC=C1)/C2=CC=CC=C2,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,3.16515,3.16515,8,6.503,9,18,-0.071,1.061,,-0.718,3.14,4.376,5.837,6.503,5.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-0.519942,-0.519942,8,-14.917,0.15,18,-14.917,-4.955,,-0.903,-2.723,-4.161,3.607,13.606,6.287,
789,47195783,852270,COC1=CC(=CC=C1)S(=O)(=O)NCC(=O)N2CCCCCC2,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,36,4.444,0.8,5.211,-100,8,-16.418,9,18,9.065,12.509,,-1.479,-2.625,-0.062,-3.377,-16.418,-7.943,,1,0,,,,,,5.37964,5.37964,8,15.181,0.15,18,15.181,7.089,,4.054,11.859,2.653,9.35,-5.832,-1.317,,1,0,,,,,,-2.50454,-2.50454,8,-9.971,4.6,18,6.66,-4.238,,8.049,-9.299,-2.009,-9.971,0.025,-9.253,,,,,,,,,,,,,,,,,,,,,,,,
790,49677178,4792903,CN(C)CCNC1=C2C=C(SC2=NC=N1)C3=CC=CC=C3,Active,51,,,=,9,5.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,13.13,4.882,1.2,0.728,-100,8,-58.989,18,18,-4.173,,7.083,0.687,-10.892,-13.836,-15.048,-40.958,-58.989,,2,51,,=,7.55,5.122,1.2,15,-100,7,-68.608,18,18,18.909,,,14.688,6.453,-10.59,-26.812,-48.871,-68.608,,2,52,,=,5.91,5.228,0.919,-4.45,-100,8,-73.506,18,18,-6.525,,-13.266,-11.439,-25.507,-30.227,-47.601,-62.771,-73.506,,2,50,,=,9.39,5.027,1.152,5.778,-100,8,-67.404,18,18,8.161,,5.808,0.485,-14.169,-5.271,-25.726,-45.775,-67.404,
791,103050921,49778614,CN(C)CCNC(=O)C1=CC=CC(=C1)C2=CN3C(=CN=C3C(=C2)NC=O)C4=CC(=C(C(=C4)OC)OC)OC,Active,55,,,=,3.07,5.513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,55,,=,3.24,5.489,1.2,0.439,-100,8,-96.591,18,18,-3.039,-4.067,,-12.657,-20.349,-35.303,-59.13,-83.131,-96.591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,55,,=,2.9,5.538,0.891,19.965,-100,8,-81.862,18,18,13.305,5.715,,-8.166,-8.676,-42.058,-49.51,-66.493,-81.862,
792,92764841,386517,CN(C)CCNC(=O)C1=C2C(=CC=C1)N=C3C(=CC=C(C3=N2)OC)OC.Cl,Active,62,,,=,0.59,6.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,61,,=,0.761,6.119,1.2,0,-105.388,8,-100.763,18,18,-10.14,-23.302,,-43.192,-67.78,-87.951,-97.068,-98.727,-100.763,,2,65,,=,0.354,6.451,1.2,0,-104.197,8,-100.374,18,18,-21.332,-44.006,,-66.15,-95.938,-99.882,-97.237,-98.769,-100.374,,,,,,,,,,,,,,,,,,,,,,,,,2,62,,=,0.656,6.183,1.2,0,-106.445,8,-105.005,9,18,-15.64,-28.605,,-47.719,-73.69,-87.678,-98.99,-105.005,-100.475,
793,92764842,386521,CN(C)CCNC(=O)C1=C2C(=CC=C1)N=C3C=CC=C(C3=N2)F.Cl,Active,53,,,=,4.63,5.334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,53,,=,4.63,5.334,1.2,6.125,-100,8,-86.327,18,18,0.996,,2.629,-1.613,-9.393,-19.284,-46.083,-74.146,-86.327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,92764843,386523,CN(C)CCNC(=O)C1=C2C(=CC=C1)NC(=N2)C3=CC=NC=C3.Cl,Active,50,,,=,10,5.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,47,,=,18.95,4.722,0.868,8.651,-100,8,-44.57,18,18,7.298,,2.599,5.852,2.053,-7.471,-18.372,-27.214,-44.57,,2,51,,=,8.02,5.096,0.918,9.349,-100,8,-69.092,18,18,8.142,,3.851,-1.495,-5.167,-20.449,-32.44,-41.916,-69.092,,2,52,,=,6.97,5.157,0.965,0.23,-100,8,-71.567,18,18,-2.748,,-6.545,-1.885,-18.615,-28.969,-35.792,-57.27,-71.567,,2,52,,=,6.07,5.217,0.8,7.838,-100,8,-65.568,18,18,7.522,,-8.127,-6.296,-11.81,-32.187,-37.358,-55.957,-65.568,
795,92764840,386514,CN(C)CCNC(=O)C1=CC=C(C2=CC3=CC=CC=C3N=C12)OC.Cl,Active,60,,,=,1.04,5.984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,59,,=,1.26,5.900,1.2,13.707,-100.923,7,-91.628,9,18,-0.913,,0.515,-11.407,,-68.14,-89.564,-91.628,-89.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,61,,=,0.816,6.088,1.2,0,-105.453,8,-101.088,18,18,-11.041,,-16.882,-38.487,-69.543,-91.22,-94.018,-96.666,-101.088,
796,22413754,1017310,CC(C)(CO)NCC1=CC(=C(C(=C1)Br)OCC2=C(C=C(C=C2)Cl)Cl)OC,Active,47,,,=,18.48,4.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,46,,=,23.72,4.625,1.091,6.619,-100,8,-38.949,18,18,8.392,4.843,,2.479,3.668,-1.535,-8.563,-20.528,-38.949,,2,50,,=,9.09,5.041,1.2,-4.345,-100,8,-69.954,18,18,-8.987,-10.49,,-2.09,-7.63,-18.311,-35.137,-53.99,-69.954,,2,51,,=,8.69,5.061,1.2,9.475,-100,8,-67.446,18,18,5.885,8.244,,3.867,3.493,-9.495,-18.334,-53.461,-67.446,,2,45,,=,32.42,4.489,0.985,12.777,-100,8,-25.103,18,18,12.371,11.743,,4.925,12.41,8.822,-0.541,-17.941,-25.103,
797,17432058,600062,CC1=CC2=C(C=C1)N=C(N=C2OC)N=C(N)N,Active,50,,,=,9.39,5.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,,=,14.17,4.849,1.2,-9.988,-100,8,-63.13,18,18,-15.719,,-6.673,-11.861,-14.905,-15.23,-30.118,-41.371,-63.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,53,,=,4.61,5.336,0.8,-4.067,-100,8,-68.598,18,18,-10.577,,-11.604,-21.733,-27.596,-42.812,-53.953,-65.073,-68.598,
798,17433273,1864167,C1CCN(C1)C2=CC=C(C=C2)NC(=O)C3=CC=CC(=C3)C4=CC5=CC=CC=C5OC4=O,Inconclusive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-2.77066,-2.77066,8,-9.628,0.15,18,-9.628,-3.888,,-6.588,-3.455,-2.953,0.124,-1.896,6.118,,3,0,,,,,,,,7,-48.311,9,18,-21.05,-17.555,,-30.427,-36.18,-30.055,,-48.311,-32.893,,1,0,,,,,,8.88738,8.88738,8,16.013,1.2,18,11.729,12.311,,8.307,16.013,10.903,-2.662,0.516,13.982,,1,0,,,,,,-11.1091,-11.1091,8,-26.049,0.15,18,-26.049,-9.245,,-12.76,-12.911,-5.155,-10.87,-6.276,-5.607,
