PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50_Qualifier,IC50,Std.Err(IC50),nH,Excluded_Points_first_point,% Activity at 80 uM_first_point,% Activity at 40 uM_first_point,% Activity at 20 uM_first_point,% Activity at 10 uM_first_point,% Activity at 5 uM_first_point,% Activity at 2.5 uM_first_point,% Activity at 1.25 uM_first_point,% Activity at 0.625 uM_first_point,% Activity at 0.3125 uM_first_point,% Activity at 0.15625 uM_first_point,Excluded_Points_second_point,% Activity at 80 uM_second_point,% Activity at 40 uM_second_point,% Activity at 20 uM_second_point,% Activity at 10 uM_second_point,% Activity at 5 uM_second_point,% Activity at 2.5 uM_second_point,% Activity at 1.25 uM_second_point,% Activity at 0.625 uM_second_point,% Activity at 0.3125 uM_second_point,% Activity at 0.15625 uM_second_point
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,"This qualifier is to be used with the next TID, IC50. If the qualifier is =, the IC50 result equals the value in that column. If the qualifier is >, the IC50 result is greater than that value. If the qualifier is <, the IC50 result is smaller than that value",IC50 value determined using a sigmoidal dose response equation,Standard Error of the IC50 value,Hill coefficient determined using sigmoidal dose response equation,Flags to indicate which of the first dose-response points were excluded from analysis. (1) means the titration point was excluded and (0) means the point was not excluded.,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,Flags to indicate which of the second dose-response points were excluded from analysis. (1) means the titration point was excluded and (0) means the point was not excluded.,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration
RESULT_UNIT,,,,,,,,NONE,MICROMOLAR,MICROMOLAR,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
829,85273628,44246702,CN(C)C=O.C1=CC=C(C(=C1)C(=O)O)NS(=O)(=O)C2=CC(=C(C=C2)NN=CC3=CC=C(C=C3)F)[N+](=O)[O-],Active,54,,,=,4.43,0.677,0.65,"0,0,0,0,0,0,0,0,0,0",91.9736,85.1739,75.0541,64.3631,42.7787,39.6091,15.4871,24.9123,22.3513,21.8543,"0,0,0,0,0,0,0,0,0,0",94.3181,84.6154,76.1248,64.7906,46.2383,26.2398,31.1539,29.7552,32.0491,9.08164
830,89856041,44825963,C/C(=N/NC1=CC=C(C=C1)C(=O)O)/C2=CC3=C(C=C2)SC4=CC=CC=C4N3.OS(=O)(=O)O,Active,56,,,=,11.1,0.947,0.964,"0,0,0,0,0,0,0,0,0,0",85.9225,89.7486,60.0854,48.1357,27.2132,10.5176,11.3862,11.0135,13.4013,4.37838,"0,0,0,0,0,0,0,0,0,0",89.241,78.0204,62.9774,44.1922,27.9669,22.3761,18.3466,7.95537,9.19434,8.32312
831,92763312,496641,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3)OCC4C=C(C(=O)C(O4)N5C=C(C(=O)NC5=O)F)F,Active,55,,,=,8.13,0.305,1.379,"0,0,0,0,0,0,0,0,0,0",95.6698,90.5872,77.1263,54.4725,36.9297,15.6878,8.39919,-2.32886,-2.70867,-1.88399,"0,0,0,0,0,0,0,0,0,0",96.8265,92.2303,75.6834,56.7733,34.9438,18.2904,5.45357,4.24101,-1.16099,-8.42422
832,103159307,49792524,CC1(CCN1C(=O)C2=CC=C(C=C2)C3CCCCC3)C(=O)NS(=O)(=O)C4=CC=C(C=C4)C#N,Active,56,,,=,5.24,0.565,0.777,"0,0,0,0,0,0,0,0,0,0",87.6689,86.2301,70.5611,69.2557,45.0444,34.2605,28.0944,15.4854,22.2486,-4.18453,"0,0,0,0,0,0,0,0,0,0",90.8451,78.8646,76.5756,60.6326,54.5104,32.4045,13.975,20.354,4.60337,19.1056
833,4265767,2227364,C1COC2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC4=C(C=C3)OC5=CC=CC=C54,Active,57,,,=,7.42,1.14,0.935,"0,0,0,0,0,0,0,0,0,0",92.8025,85.73,72.3245,54.3646,36.4434,19.0036,18.1757,-4.33512,4.14887,-5.83103,"0,0,0,0,0,0,0,0,0,0",92.0311,86.1483,74.9215,55.1985,38.3441,29.7847,20.8189,14.9478,16.0891,38.5956
834,87342605,9550611,CN(CCO)C1=C(C2=NON=C2C(=C1)SC3=NC4=CC=CC=C4S3)[N+](=O)[O-],Active,57,,,=,2.14,0.232,0.723,"0,0,0,0,0,0,0,0,0,0",84.8484,83.4878,83.4475,76.2871,68.6355,54.4158,45.6327,18.925,20.4519,0.692725,"0,0,0,0,0,0,0,0,0,0",84.2847,84.6286,83.4739,78.5469,64.0705,62.4788,36.2517,34.957,15.2922,17.5688
835,14722177,2057228,C1CC1C(=O)C2=CN(C3=CC=CC=C32)CC(=O)NCC4=CC5=C(C=C4)OCO5,Active,56,,,=,8.36,0.576,1.072,"1,1,1,0,0,0,0,0,0,0",,,,50.206,38.8032,22.0728,12.7453,3.31203,1.82502,-5.02222,"1,1,1,0,0,0,0,0,0,0",,,,56.5333,35.0667,26.7757,10.0132,5.95821,-1.67416,-0.935863
836,17407601,1570045,CC1=C(C=C(C=C1)[N+](=O)[O-])NC(=O)CCCOC2=CC=CC=C2,Inactive,41,,,=,27.3,13.8,0.346,"0,0,0,0,0,0,0,0,0,0",45.7346,40.8294,52.2103,59.515,52.2614,28.4676,19.2238,-0.0775,16.1211,1.12954,"0,0,0,0,0,0,0,0,0,0",41.3616,47.5056,57.5332,63.9191,45.6171,42.1815,15.3065,15.3832,10.7245,21.6123
837,14729147,2231199,C1=CC=C(C=C1)CC2=NN=C(N2C3=CC=C(C=C3)F)SCC4=NC(=NO4)C5=CC=C(C=C5)Cl,Active,56,,,=,8.88,0.382,0.88,"0,0,0,0,0,0,0,0,0,0",87.8128,81.1959,68.2538,52.9626,36.6243,27.3858,12.9046,15.0464,4.84914,8.48616,"0,0,0,0,0,0,0,0,0,0",87.8042,77.0476,68.0479,50.0936,37.6329,22.3505,14.7942,6.66619,6.75251,-1.86407
838,16952617,2323673,C1=CC(=CC=C1CNC(=O)/C=C/C2=C(C=CC(=C2)[N+](=O)[O-])OC(F)F)F,Active,55,,,=,0.999,0.164,0.56,"0,0,0,0,0,0,0,0,0,0",81.4219,79.532,81.2125,82.9746,78.8157,70.5897,56.8951,46.8845,23.6109,31.5073,"0,0,0,0,0,0,0,0,0,0",79.9076,77.6056,81.4509,84.6552,79.3474,67.5312,52.5864,36.7035,29.772,19.7533
839,16952623,2323671,C1=CC(=CC=C1CNC(=O)/C=C/C2=C(C=CC(=C2)[N+](=O)[O-])OC(F)F)Cl,Active,60,,,=,0.413,0.081,0.688,"0,0,0,0,0,0,0,0,0,0",85.4054,83.1195,86.548,84.9087,87.1113,83.9295,76.9107,58.1584,47.9121,18.8349,"0,0,0,0,0,0,0,0,0,0",83.6971,85.0603,80.8885,84.7819,86.9761,85.9424,75.1441,66.5927,36.6882,31.0959
840,17387294,990305,C1=CC=C(C=C1)C2=C(C(=O)N(N=C2C3=CC=CC=C3)CC(=O)NNC(=O)NC4=CC(=C(C=C4)Cl)Cl)C#N,Active,55,,,=,8.07,0.758,0.775,"0,0,0,0,0,0,0,0,0,0",83.5694,73.1773,69.1115,61.6039,40.7482,35.0677,12.6514,0.57926,10.4413,9.61758,"0,0,0,0,0,0,0,0,0,0",82.3655,73.0121,65.3382,53.3287,44.5147,32.3583,24.0678,3.21234,-0.705593,4.40342
841,22406529,2342135,CC1=NC2=C(S1)C=C(C=C2)NC(=O)C3=C(C(=CC(=C3)[N+](=O)[O-])[N+](=O)[O-])Cl,Active,59,,,=,2.54,0.155,0.987,"0,0,0,0,0,0,0,0,0,0",98.1229,96.9279,91.6727,81.4434,57.6317,55.7345,30.8308,25.2989,10.0596,13.5972,"0,0,0,0,0,0,0,0,0,0",98.5956,96.0408,93.5237,78.4078,59.7467,51.8589,32.1611,17.2531,11.4465,4.86969
842,17433637,9587669,C1CCC(C1)CCC(=O)O/N=C(/C2=CC(=CC=C2)[N+](=O)[O-])\N,Active,56,,,=,4.54,0.587,0.746,"0,0,0,0,0,0,0,0,0,0",96.3306,88.2052,76.1521,66.8431,41.7501,38.0567,17.2691,17.2189,15.4384,16.7476,"0,0,0,0,0,0,0,0,0,0",95.228,88.4165,78.4999,62.3137,48.7917,30.5676,33.0797,15.9684,26.3765,23.8234
843,17433688,2199198,C1=CC=C(C(=C1)CSC2=NN=C(S2)NC(=O)C3=CC(=CC=C3)[N+](=O)[O-])Cl,Active,56,,,=,11,0.898,0.984,"0,0,0,0,0,0,0,0,0,0",72.3879,79.0761,61.5426,54.8949,31.2912,23.7167,2.90607,3.20296,-3.30301,6.34505,"0,0,0,0,0,0,0,0,0,0",86.4065,78.4225,67.8281,49.1827,33.9321,13.4758,10.6718,0.30895,-0.349928,-2.72175
844,22407378,2388850,CCC1=C(C(=CC=C1)CC)NC(=O)/C(=C/C2=CC=CC=C2C(F)(F)F)/C#N,Active,57,,,=,4.74,0.448,0.884,"0,0,0,0,0,0,0,0,0,0",96.0252,90.2016,75.9961,65.6032,51.8152,43.8469,15.39,11.9827,5.09115,9.85996,"0,0,0,0,0,0,0,0,0,0",95.0751,86.5516,79.7237,61.064,48.6195,37.2254,26.1043,4.2849,26.3682,6.03161
845,17515895,2671792,CC(C)C1=CC=C(C=C1)CCNC(=O)C2=CC=C(C=C2)[N+](=O)[O-],Active,56,,,=,1.71,0.325,0.629,"0,0,0,0,0,0,0,0,0,0",80.0787,76.705,79.8865,76.2532,72.5417,62.9542,57.0218,24.2597,26.797,-2.089,"0,0,0,0,0,0,0,0,0,0",79.3042,80.5763,75.9018,78.885,69.8752,71.7025,43.486,38.4536,11.4325,22.8349
846,17507961,2891009,COC1=CC(=C(C=C1)NC(=O)CN(C2=CC=C(C=C2)[N+](=O)[O-])S(=O)(=O)C3=CC=CC=C3)OC,Active,57,,,=,5.78,0.399,1.197,"0,0,0,0,0,0,0,0,0,0",94.9847,88.4261,81.8718,66.2566,54.5452,24.8445,6.31377,7.57522,4.2479,-7.36613,"0,0,0,0,0,0,0,0,0,0",92.7164,89.3102,77.1723,68.3299,44.0829,22.3065,24.1945,5.24744,-6.83332,-0.373895
847,17506457,2043942,CCOC1=CC=C(C=C1)N2C(=NN=C2SCC3=CC=C(C=C3)[N+](=O)[O-])C4=CC=CC=C4,Active,55,,,=,5.2,0.709,0.692,"0,0,0,0,0,0,0,0,0,0",88.9462,86.1437,72.555,54.3753,50.4728,33.2281,36.2766,8.5429,27.9125,1.68881,"0,0,0,0,0,0,0,0,0,0",93.0995,83.513,72.0718,59.4377,48.5846,33.2994,15.9568,19.336,20.896,23.1993
848,17503937,135497926,C1C(CN(C1=O)CC(=O)N/N=C/C2=C(C=CC(=C2)Br)O)C3=CC=CC=C3,Active,57,,,=,4.11,0.459,1.278,"0,0,0,0,0,0,0,0,0,0",84.2996,85.7449,85.8886,83.2668,59.9597,27.5417,20.0583,3.87741,23.6985,-0.034,"0,0,0,0,0,0,0,0,0,0",85.0633,87.1427,86.605,83.7342,56.784,38.0533,5.01479,11.1093,-5.1543,3.82839
849,17504933,3160539,CC(C1=CC=CC=C1)NC(=O)C(C(=O)C2=CC(=CC=C2)[N+](=O)[O-])N3C=C(C=CC3=O)Cl,Active,56,,,=,7.89,0.454,0.823,"0,0,0,0,0,0,0,0,0,0",88.5393,80.5374,74.3325,54.331,39.8233,27.0521,13.803,12.7535,11.317,6.62932,"0,0,0,0,0,0,0,0,0,0",87.2035,79.074,68.2912,52.3476,38.3517,23.2412,20.8667,10.1723,15.457,7.21028
850,22409722,2393078,C1=CC=C2C(=C1)C(=NC=N2)OCC(=O)NC3=CC(=C(C=C3)Cl)[N+](=O)[O-],Active,56,,,=,6.52,0.616,0.88,"0,0,0,0,0,0,0,0,0,0",90.031,86.5704,75.4573,64.0947,38.8701,23.06,12.9208,11.2979,2.26815,3.99832,"0,0,0,0,0,0,0,0,0,0",90.1913,84.4025,71.1921,58.5662,39.4943,36.7209,17.5835,27.1533,18.2663,-1.79498
851,17512428,135517087,CC1=NC2=CC=CC=C2C(=C1)C(=O)N/N=C/C3=C(C=CC(=C3)[N+](=O)[O-])O,Active,52,,,=,2.75,0.164,1.73,"0,0,0,0,0,0,0,0,0,0",98.068,97.8031,96.2881,95.0201,74.0201,42.2428,29.5222,9.87193,3.32217,1.69513,"0,0,0,0,0,0,0,0,0,0",97.6195,97.3948,97.1576,94.1798,77.0329,39.4865,15.8951,7.08362,6.56651,17.5921
852,17516621,4423761,CC1=C(C=C(C=C1)S(=O)(=O)N(C)C)NC(=S)NC(C)CCCC(C)C,Active,55,,,=,9.82,0.314,0.86,"0,0,0,0,0,0,0,0,0,0",85.8178,77.531,65.2737,54.3101,34.1381,26.8319,16.6439,5.99673,6.15101,0.584419,"0,0,0,0,0,0,0,0,0,0",84.5851,76.2348,66.6635,47.3759,33.3595,21.8494,14.4351,9.91521,5.49128,2.34043
853,22414695,9633715,CCCCC(=O)N/N=C/C1=C(C=CC(=C1)[N+](=O)[O-])N2CCOCC2,Active,56,,,=,4.13,0.681,0.724,"0,0,0,0,0,0,0,0,0,0",90.4529,86.8084,76.5847,65.9132,56.7079,48.8712,36.5344,32.3177,30.2367,28.3181,"0,0,0,0,0,0,0,0,0,0",90.923,85.5499,76.6722,63.399,49.6751,29.6179,19.2265,4.25487,2.72018,0.21451
854,24789407,3129460,CC(=O)N1C(OC(=N1)C2=CC(=CC=C2)[N+](=O)[O-])C3=CC(=CC=C3)Br,Active,55,,,=,11.9,1,0.88,"0,0,0,0,0,0,0,0,0,0",83.956,73.9202,60.3122,47.3091,36.6312,34.2746,8.53449,3.58742,9.99886,3.38592,"0,0,0,0,0,0,0,0,0,0",84.2769,73.3786,59.7945,41.5012,33.2258,19.6857,6.69593,-3.53097,-2.18762,-2.60609
855,24789461,675893,CC1=C(C=C(C=C1)[N+](=O)[O-])NC(=O)CCC2=CC=CC=C2,Active,52,,,=,17.5,2.2,0.665,"0,0,0,0,0,0,0,0,0,0",65.2488,61.0508,61.5478,44.224,31.157,17.614,12.3103,2.35351,3.70203,-6.52699,"0,0,0,0,0,0,0,0,0,0",62.1283,61.5744,60.31,47.6795,30.6367,21.6629,11.4709,17.9443,1.32921,0.00776
856,24816365,7162172,C1=CC(=CC(=C1)[N+](=O)[O-])C2=NN=C(C=C2)SCC3=CN=CC=C3,Active,56,,,=,8.99,1.33,0.886,"0,0,0,0,0,0,0,0,0,0",93.3031,80.227,63.4879,53.9808,45.2053,8.25913,17.1549,5.03055,15.5199,1.78793,"0,0,0,0,0,0,0,0,0,0",90.2915,83.4289,69.4853,46.2966,28.4883,28.399,7.17386,34.7149,2.61139,17.4513
857,24827286,568849,C1=CC=C(C=C1)CCC(=O)OCC(=O)C2=CC(=CC=C2)[N+](=O)[O-],Active,56,,,=,9.4,0.948,1.008,"0,0,0,0,0,0,0,0,0,0",93.9618,84.8366,66.8741,54.7379,28.3618,36.2863,11.9003,15.8649,-0.673769,13.9759,"0,0,0,0,0,0,0,0,0,0",93.669,82.2488,68.7992,43.7495,29.4615,16.255,11.6527,4.63779,-3.18104,12.4611
858,24790945,1246564,CCOC1=CC=CC2=C1OC(=O)C(=C2)C(=O)NCCC3=CCCCC3,Active,57,,,=,4.15,0.105,1.34,"0,0,0,0,0,0,0,0,0,0",99.2537,95.8636,90.409,74.5076,56.5933,35.9192,16.858,7.36397,1.36067,2.95045,"0,0,0,0,0,0,0,0,0,0",97.6728,96.543,89.1291,78.5521,53.6308,31.341,19.5752,4.97254,6.74926,-2.03213
859,24788977,2878297,CC1CC(C(C1(C#N)C#N)(C#N)C#N)N(C(=O)C)N(C)C,Active,55,,,=,6.1,0.732,0.706,"0,0,0,0,0,0,0,0,0,0",80.7493,73.1181,68.4657,69.9814,52.4935,20.3915,35.8904,12.7635,8.78953,7.07865,"0,0,0,0,0,0,0,0,0,0",79.8628,79.789,66.7482,65.9532,49.9211,32.1418,17.2667,22.7884,7.64756,1.1368
860,56463271,4519262,CC(C)C1=CC2=C(C=C1)N(C(=C2SC(C)(C)C)CC(C)(C)C(=O)[O-])CC3=CC=C(C=C3)Cl.[Na+],Active,55,,,=,8.48,0.41,1.328,"0,0,0,0,0,0,0,0,0,0",84.2982,89.3056,79.3417,55.9643,28.1474,18.0352,4.8975,7.39542,6.41222,0.672657,"0,0,0,0,0,0,0,0,0,0",91.964,89.835,78.0506,55.7316,34.4652,13.6371,10.4093,2.23852,-3.08726,1.4704
861,49714480,16746553,CC(C)(C)OC(=O)CNC(=O)C1=C(N=CN1)C(=O)N[C@@H](CCCCNC(=O)OC(C)(C)C)C(=O)OC(C)(C)C,Active,64,,,=,0.364,0.019,0.884,"0,0,0,0,0,0,0,0,0,0",98.6342,96.6635,94.8873,93.076,89.0169,87.3137,72.8353,67.521,50.7687,32.3055,"0,0,0,0,0,0,0,0,0,0",98.2508,97.8399,95.0427,93.1111,90.2868,82.6038,77.4088,59.3186,46.9275,24.8919
862,92763615,23724100,C1=CC(=C(C=C1C2=CSC(=N2)NCCC3=NC4=C(N3CCCO)C=CC(=C4)C(F)(F)F)[N+](=O)[O-])Cl,Active,58,,,=,3.93,0.212,0.974,"0,0,0,0,0,0,0,0,0,0",94.536,91.6883,85.0948,71.7216,49.8194,40.2176,20.8234,20.3239,9.16107,13.4668,"0,0,0,0,0,0,0,0,0,0",94.4854,92.8271,84.4428,73.6391,57.8059,34.8814,25.6636,10.4538,10.764,5.49357
863,49726507,2892022,COC1=CC=C(C=C1)/C=C(/C(=O)NCCN2CCOCC2)\NC(=O)C3=CC=C(C=C3)[N+](=O)[O-],Active,57,,,=,5.27,0.201,0.909,"0,0,0,0,0,0,0,0,0,0",90.6577,86.2159,77.1392,67.6209,49.5143,32.1684,21.7957,10.5355,7.46968,5.1555,"0,0,0,0,0,0,0,0,0,0",90.4455,84.7377,76.9315,61.7524,48.9537,36.9296,20.2748,15.6815,3.67144,-2.8353
864,49673889,16308161,C1=CC=C(C=C1)C(CC(=O)NCC(C2=CC=C(C=C2)[N+](=O)[O-])O)C3=CC=CC=C3,Active,55,,,=,13.5,1.27,1.052,"0,0,0,0,0,0,0,0,0,0",85.2565,73.8709,66.4906,42.7742,18.9693,18.4842,0.397187,0.783547,-0.299638,2.73336,"0,0,0,0,0,0,0,0,0,0",85.9447,78.781,62.245,34.6577,25.0341,19.6006,10.2485,4.68521,19.3986,14.3538
865,47204096,3091123,CCCCCOC(=O)C1=C(NC(=O)NC1C2=CC=C(C=C2)[N+](=O)[O-])C,Active,52,,,=,14.9,2.39,0.635,"0,0,0,0,0,0,0,0,0,0",65.8933,64.9496,60.1921,53.8445,30.3353,24.9767,8.68755,22.3318,3.74322,23.2714,"0,0,0,0,0,0,0,0,0,0",72.0392,62.2357,64.7667,39.9498,36.4234,16.548,11.0932,-0.83798,11.8861,7.20844
866,47202366,5737602,CC1=CC=C(C=C1)C(=O)N/C(=C\C2=CC(=CC=C2)[N+](=O)[O-])/C(=O)NC3=CC=CC(=C3)C(=O)O,Active,55,,,=,8.2,0.893,0.746,"0,0,0,0,0,0,0,0,0,0",83.8763,75.0236,65.5651,48.2859,35.4789,23.3625,17.8537,6.25157,7.0779,17.4639,"0,0,0,0,0,0,0,0,0,0",84.0013,84.0321,67.1223,60.7151,38.3893,39.2276,10.521,22.2155,11.9323,9.75809
867,49676062,8901795,CC1=C(C=C(C=C1)C(=O)NCCNC2=C(C=C(C=N2)C(F)(F)F)Cl)[N+](=O)[O-],Active,56,,,=,9.8,0.436,1.193,"0,0,0,0,0,0,0,0,0,0",93.1722,84.7083,69.0791,47.752,33.7763,17.0109,12.1599,-1.89906,-1.19296,-6.25448,"0,0,0,0,0,0,0,0,0,0",94.4878,83.5005,69.8615,51.1683,29.4719,20.1505,6.38185,3.90888,-5.84297,0.390582
868,49674162,5085610,C1=CC=C(C=C1)C(=O)C(C(=O)NC2=CC=C(C=C2)Cl)Cl,Active,58,,,=,4.67,0.281,1.022,"0,0,0,0,0,0,0,0,0,0",87.5907,89.3079,87.0779,73.3992,48.0376,37.2918,18.3952,9.05622,10.9711,8.78092,"0,0,0,0,0,0,0,0,0,0",87.2371,89.6623,86.5648,68.0759,50.3016,29.7987,19.415,14.3598,7.71487,2.53648
869,49734404,4185459,CC1CC(CN(C1)C(=O)C2=CC3=C(O2)N=C4C=C(C=CC4=C3)OC)C,Active,58,,,=,3.88,0.214,0.904,"0,0,0,0,0,0,0,0,0,0",96.3647,89.9812,83.483,69.1938,51.3021,44.7711,21.3678,18.2801,3.50254,12.2408,"0,0,0,0,0,0,0,0,0,0",95.9045,91.5666,80.6345,70.2674,56.4344,36.0587,30.02,15.5212,14.4499,7.01058
870,49721931,16014490,CCOC1=CC=CC=C1NC(=O)C2=NC(=NC=C2Cl)S(=O)(=O)CC3=CC=CC(=C3)C,Active,54,,,=,3.06,0.448,0.614,"0,0,0,0,0,0,0,0,0,0",90.1968,86.4369,79.0303,64.0136,61.4765,45.6464,27.9941,15.2332,20.6073,18.9857,"0,0,0,0,0,0,0,0,0,0",91.715,87.0193,76.9598,71.3655,52.0224,40.378,35.4815,28.9059,21.8003,39.0913
871,49819576,24817939,CCOC1=C(C=C(C=C1)CCNC(=O)COC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])N3CCOCC3)OCC,Active,55,,,=,9.59,1.02,0.832,"0,0,0,0,0,0,0,0,0,0",87.0755,81.0895,62.4301,45.0349,31.4609,36.875,14.2873,14.876,2.48963,20.3749,"0,0,0,0,0,0,0,0,0,0",87.7719,75.5864,66.7916,52.7681,35.9583,18.5507,18.7461,-1.95478,8.84027,1.33151
872,49823587,25237244,C1=CC(=CC=C1C(=O)N/N=C/C2=COC3=C(C2=O)C=C(C=C3)Cl)O,Active,58,,,=,4.84,0.64,1.048,"0,0,0,0,0,0,0,0,0,0",81.3965,82.4484,84.9293,81.1336,52.1421,24.5774,16.6333,16.6699,7.62701,16.3951,"0,0,0,0,0,0,0,0,0,0",81.7298,83.3931,85.9557,77.8585,56.0021,19.8636,6.69335,20.2959,9.81705,6.45017
873,49824819,1781959,C1=CC=C(C=C1)C2=CC(=O)OC3=C2C=CC(=C3)OCC(=O)N[C@@H](CC4=CNC5=C4C=C(C=C5)O)C(=O)O,Active,57,,,=,6.9,0.597,1.138,"0,0,0,0,0,0,0,0,0,0",91.6605,86.9732,77.5436,61.224,46.0333,25.1962,16.8727,-2.18676,-0.285596,-8.41105,"0,0,0,0,0,0,0,0,0,0",93.0219,88.8594,77.3058,58.0469,39.0165,20.0119,10.8647,23.2601,-6.26683,-8.59601
874,56323358,24982449,CN(CC1=CC=CC=C1)C(=O)COC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])N3CCOCC3,Active,63,,,=,0.617,0.031,0.931,"0,0,0,0,0,0,0,0,0,0",98.3774,96.8524,93.1064,91.7775,85.8915,82.4164,67.5338,52.6233,39.8914,16.5944,"0,0,0,0,0,0,0,0,0,0",99.0197,95.555,94.9489,90.1843,87.4336,78.2959,69.3229,44.8463,29.5907,25.1996
875,51085933,18575108,CC1=C(C=C(C=C1)[N+](=O)[O-])S(=O)(=O)NC2=CC=C(C=C2)C3=NN=C(C=C3)N4CCCC4,Active,55,,,=,8.02,0.591,0.825,"0,0,0,0,0,0,0,0,0,0",83.8266,77.208,65.877,51.5463,40.1049,22.4143,16.5335,5.06563,7.80337,0.439234,"0,0,0,0,0,0,0,0,0,0",85.4948,76.8791,69.2822,67.3661,39.5716,34.2947,12.8706,13.4531,5.62986,8.66194
876,56322123,16278623,C1CCN(C1)S(=O)(=O)C2=CC=CC(=C2)NC(=O)COC(=O)C3=C(C=CC(=C3)[N+](=O)[O-])NCCO,Active,57,,,=,4.57,0.21,0.891,"0,0,0,0,0,0,0,0,0,0",87.5132,86.1847,79.6757,69.3195,51.1313,39.1814,18.2901,18.0759,5.00856,6.43039,"0,0,0,0,0,0,0,0,0,0",87.6338,86.4371,80.9385,67.6249,53.0367,36.3702,26.3724,11.2564,9.15894,1.7716
877,56462893,25102491,C[C@]12[C@H]([C@H]3COC4=C([C@@H]3N1C(=O)C5=C(C=CC(=C5)OC)NC2=O)C=C(C=C4)Br)C6=CC=CC=C6,Active,54,,,=,18,1.3,1.025,"0,0,0,0,0,0,0,0,0,0",86.3578,62.0759,65.7171,35.469,18.1551,12.7722,4.17709,-0.998556,-0.193548,5.83596,"0,0,0,0,0,0,0,0,0,0",72.3113,72.5093,52.2204,31.5432,23.4259,9.65142,6.58218,0.732109,2.50092,0.433041
878,56462863,25102461,C[C@]12[C@H]([C@H]3COC4=C([C@@H]3N1C(=O)C5=C(C=CC(=C5)OC)NC2=O)C=CC(=C4)OC)C6=CC=CC=C6,Active,55,,,=,13.7,1.26,1.25,"0,0,0,0,0,0,0,0,0,0",90.4616,81.5079,60.4215,38.0181,29.6178,5.3285,0.255786,12.1244,10.4424,21.4272,"0,0,0,0,0,0,0,0,0,0",86.4275,79.804,60.5765,45.3133,18.6777,4.39645,6.49845,-4.21031,3.29016,4.48726
879,56463344,23930391,C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@@H]5CC6[C@@H](CC7=CNC8=CC=CC6=C78)N(C5)C.C(C(C(=O)O)O)(C(=O)O)O,Active,56,,,=,8.09,0.375,0.977,"0,0,0,0,0,0,0,0,0,0",90.9527,82.5103,71.21,53.8052,39.6642,20.4411,16.2686,12.6015,6.66315,8.94083,"0,0,0,0,0,0,0,0,0,0",90.6972,84.0135,70.0283,56.2922,35.8687,27.769,11.3262,6.14355,-0.925447,-2.33694
880,57262166,2622265,C1CN(CC2=CC=CC=C21)C(=O)COC(=O)C3=CC(=C(C=C3)Cl)[N+](=O)[O-],Active,56,,,=,2.41,0.296,0.687,"0,0,0,0,0,0,0,0,0,0",95.0783,90.7027,85.866,70.828,65.8273,49.5199,27.3341,24.4681,17.6865,26.486,"0,0,0,0,0,0,0,0,0,0",96.9152,89.6804,82.2438,73.5422,61.5981,42.1533,37.7823,31.1814,17.1106,31.6074
881,57261331,16306521,COC1=CC(=C(C=C1N2CC(CC2=O)C(=O)NCCC3=CCCCC3)Cl)OC,Active,55,,,=,11.8,1.44,1.291,"0,0,0,0,0,0,0,0,0,0",86.9295,81.9312,65.081,46.2576,24.6879,3.49356,-4.45778,-2.17224,-4.51025,2.7891,"0,0,0,0,0,0,0,0,0,0",85.0787,78.1338,67.109,50.7945,35.2471,18.1389,-1.69202,-16.7524,-14.8882,-21.7574
