PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50_Mean_Qualifier,IC50_Mean,IC50_Qualifier_1_Range1,IC50_1_Range1,Std.Err(IC50)_1_Range1,nH_1_Range1,Excluded_Points_first_point_Range1,% Activity at 66 uM_first_point_Range1,% Activity at 33 uM_first_point_Range1,% Activity at 16.5 uM_first_point_Range1,% Activity at 8.25 uM_first_point_Range1,% Activity at 4.125 uM_first_point_Range1,IC50_Qualifier_2_Range1,IC50_2_Range1,Std.Err(IC50)_2_Range1,nH_2_Range1,Excluded_Points_second_point_Range1,% Activity at 66 uM_second_point_Range1,% Activity at 33 uM_second_point_Range1,% Activity at 16.5 uM_second_point_Range1,% Activity at 8.25 uM_second_point_Range1,% Activity at 4.125 uM_second_point_Range1,IC50_Qualifier_1_Range2,IC50_1_Range2,Std.Err(IC50)_1_Range2,nH_1_Range2,Excluded_Points_first_point_Range2,% Activity at 66 uM_first_point_Range2,% Activity at 33 uM_first_point_Range2,% Activity at 16.5 uM_first_point_Range2,% Activity at 8.25 uM_first_point_Range2,% Activity at 4.125 uM_first_point_Range2,% Activity at 2.0625 uM_first_point_Range2,% Activity at 1.03125 uM_first_point_Range2,% Activity at 0.515625 uM_first_point_Range2,% Activity at 0.2578125 uM_first_point_Range2,% Activity at 0.1289062 uM_first_point_Range2
547,22414608,185146,CN(C)CCCN1C(=O)C2=C3C(=C(C=C2)[N+](=O)[O-])C=CC=C3C1=O,Inactive,41,,,=,60.13,>,66,,,"0,0,0,0,0",42.0471,25.3268,15.5289,4.24,7.64796,=,42.454,,1,"0,0,0,0,0",69.0362,43.287,24.9553,12.6635,-0.264085,>,66,,,"0,0,0,0,0,0,0,0,0,0",109.346,74.237,47.2645,28.6513,8.03185,44.2552,22.1868,8.47767,-3.00233,3.7965
548,99358088,3613753,C1=CN2C(=CNC2=S)C=N1,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",0.193039,2.21652,1.15153,5.19849,4.7725,>,66,,,"0,0,0,0,0",-20.6091,-3.54895,-1.1118,-6.09209,6.30567,,,,,,,,,,,,,,,
549,99357984,5383387,C12=C(N=C(C(=N1)Cl)Cl)N=C(N2)C(C(C(F)(F)F)(F)F)(F)F,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",39.0651,27.6698,18.5109,7.43497,5.41149,>,66,,,"0,0,0,0,0",35.1278,18.2796,6.19971,1.74924,-3.1251,>,66,,,"0,0,0,0,0,0,0,0,0,0",55.9582,37.4564,28.9857,17.9515,11.3756,16.7255,5.57981,9.36933,3.7965,10.8183
550,89853614,67062,C1=CC=C(C=C1)NC2=CC3=C(C=C(C=C3C=C2)S(=O)(=O)O)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",24.3683,23.0903,10.8429,5.94398,5.30499,>,66,,,"0,0,0,0,0",21.5645,18.2796,9.06073,4.92815,-5.98612,,,,,,,,,,,,,,,
551,17508515,1438832,CCOC(=O)C1=CC2=C(N1CC(=O)N(CC3=CC=CC=C3)C4=CC=CC=C4)C=CN2C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",13.6119,14.6769,12.0144,11.0559,4.666,>,66,,,"0,0,0,0,0",5.66989,11.4979,8.10706,9.48459,2.17308,,,,,,,,,,,,,,,
552,24792338,955776,C1CCC(CC1)NC(=S)NS(=O)(=O)C2=CC=CS2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",8.92596,5.94398,9.45845,11.5884,7.54147,>,66,,,"0,0,0,0,0",2.17308,-5.98612,-6.30402,-3.33703,-8.63522,,,,,,,,,,,,,,,
553,17503785,1953519,C1=CC=C(C=C1)/C=C/2\C(=O)C3=C(C2=O)C=C(C=C3)C(=O)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",24.7943,15.8484,6.05048,9.56495,6.05048,>,66,,,"0,0,0,0,0",26.6507,11.6039,23.5778,1.64327,0.265734,,,,,,,,,,,,,,,
554,17409520,3567992,C1=CC=C(C=C1)C(=O)NC(=S)NC2=CC=CC3=C2N=CC=C3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",2.20425,0.686168,2.20425,-0.723471,3.93919,>,66,,,"0,0,0,0,0",-7.10017,-8.04273,-9.61364,-7.41435,-10.4515,,,,,,,,,,,,,,,
555,7977183,1379557,C1=CC=C(C=C1)CC2=C(N=C(NC2=O)SCC(=O)NC3=CC=CC=C3)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",8.49996,5.94398,4.87899,6.36998,3.38801,>,66,,,"0,0,0,0,0",-11.6022,-14.7811,-9.5889,-12.0261,-14.2513,,,,,,,,,,,,,,,
556,26727303,2726354,CC1=CC(=C2C(=C1)OC=C(C2=O)C#N)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",0.725534,2.64252,-0.339456,-2.46943,-0.445953,>,66,,,"0,0,0,0,0",-5.56227,-10.2247,-8.95311,-12.238,-8.42329,,,,,,,,,,,,,,,
557,85146341,44142226,C1CN(CC2=CC=CC3=C2[C@@H]1C=CC3)CC4=CC=C(C=C4)F,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",2.85551,3.60101,0.619036,2.11002,-2.25643,>,66,,,"0,0,0,0,0",-5.66823,-6.93981,-10.2247,-7.68155,-5.88017,,,,,,,,,,,,,,,
558,87336530,5355833,CC1=C(N=C2C(=N1)C(=O)NC(=S)N2)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",11.0559,7.43497,10.7364,11.5884,6.58297,>,66,,,"0,0,0,0,0",1.5373,-3.76089,0.583629,-6.51594,-3.33703,,,,,,,,,,,,,,,
559,4251943,3245562,C1COC2=C(O1)C=CC(=C2)NC(=O)CSC3=NN=C(O3)CNC(=O)C4=CC=CC=C4F,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",5.30499,10.7364,6.68948,2.96202,2.21652,>,66,,,"0,0,0,0,0",-5.98612,-3.65492,-5.98612,-12.9797,-12.238,,,,,,,,,,,,,,,
560,103159731,49792826,CC(=O)NC1=CC(=CN2C1=NC=C2C3=CC(=C(C=C3)F)Cl)C4=CC=CC=C4N(C)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",2.96202,-1.29794,-3.32142,-1.83043,-2.36293,>,66,,,"0,0,0,0,0",6.62356,-5.88017,-19.4435,-12.3439,-11.6022,,,,,,,,,,,,,,,
561,24814488,4167576,CC1=C(C(=C(S1)NC(=O)CCCC(=O)O)C(=O)N)C2=CC=CC=C2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",0.262079,3.64977,4.74258,2.77553,7.58386,>,66,,,"0,0,0,0,0",-1.63435,-0.686307,11.6384,10.0583,3.94862,,,,,,,,,,,,,,,
562,17386669,990754,CC1=C2C=CC=CN2C3=CC(=C(C3=C1C4=CC=CC=C4)C(=O)OC)C(=O)OC,Inactive,41,,,=,54.73,>,66,,,"0,0,0,0,0",45.7746,27.4568,7.11547,5.41149,-0.978447,>,66,,,"0,0,0,0,0",47.7375,26.1209,4.39833,-4.07877,-8.42329,>,66,,,"0,0,0,0,0,1,0,0,0,0",73.9026,47.1531,31.4377,22.2983,23.1899,,4.79962,11.8214,7.92039,4.79962
563,49671959,2815596,CCOC1=CC=CC=C1NC(=O)NC2=CN=C(C=C2)OC,Inactive,41,,,=,35.9,=,54.065,,1,"0,0,0,0,0",79.4207,50.7045,26.1209,8.31899,-3.23107,=,35.806,,1,"0,0,0,0,0",58.8739,37.8937,24.1553,5.94398,3.06852,>,66,,,"0,0,0,0,0,0,0,0,0,0",114.361,88.5034,57.5185,-32.6498,8.81205,0.898645,-7.34915,2.57049,6.02563,5.57981
564,47197202,798461,CC1=CC(=C(C(=C1)NC(=S)NC(=O)CC2=CC=CC=C2)O)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",4.5595,7.75447,6.05048,8.92596,3.28151,>,66,,,"0,0,0,0,0",-4.60859,-3.33703,1.00748,-6.09209,1.11345,,,,,,,,,,,,,,,
565,24810715,4177514,C=CCN(CC=C)C(=S)NC1=CC2=NSN=C2C=C1,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-53.9084,-40.4895,-27.2837,-11.6283,-8.85937,>,66,,,"0,0,0,0,0",-17.4302,-18.5958,-11.0724,-3.54895,-14.1453,,,,,,,,,,,,,,,
566,850264,652781,CC(C)N1C2=C(N=C1SCC=C)N(C(=O)NC2=O)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",3.49451,5.83749,5.94398,6.15698,4.98549,>,66,,,"0,0,0,0,0",-4.71456,-10.4366,-11.2843,-1.85354,-12.7678,,,,,,,,,,,,,,,
567,24785955,977195,CC1=CC(=CC=C1)NC(=S)NC2=CC(=C(C=C2)Cl)Cl,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",4.5595,2.21652,1.36453,8.18046,8.60646,>,66,,,"0,0,0,0,0",-16.6885,-8.52926,-5.7742,-9.05908,-7.15173,,,,,,,,,,,,,,,
568,49678428,24761908,COC1=CC=C(C=C1)CNC(=O)CN(CC2=CC=C(C=C2)Cl)C(=O)C3=CSN=N3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-0.87195,2.11002,3.814,1.89703,-3.96041,>,66,,,"0,0,0,0,0",-14.1453,-7.68155,-3.65492,-15.4169,-21.033,,,,,,,,,,,,,,,
569,89853596,6868,C1=CC2=C(C=C(C=C2C=C1N)S(=O)(=O)O)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-14.1843,-10.6699,-4.81241,0.0865,1.36453,>,66,,,"0,0,0,0,0",-33.0069,-33.4308,-35.2321,-24.2119,-16.9004,,,,,,,,,,,,,,,
570,26671675,940607,C1=COC(=C1)C(=O)NC(=S)NC2=CC3=C(C=C2)OC(=O)C=C3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-0.02,7.00897,5.83749,4.453,0.512539,>,66,,,"0,0,0,0,0",-10.3306,-7.46962,-11.4962,-21.033,-15.3109,,,,,,,,,,,,,,,
571,3715749,547914,COC(=O)C1=C(SC(=S)S1)C(=O)OC,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",2.53602,1.89703,0.832039,3.06852,1.57753,>,66,,,"0,0,0,0,0",-20.5032,-8.63522,-4.60859,-13.4036,-8.1054,,,,,,,,,,,,,,,
572,4256238,2962125,CC1=NC(=CC=C1)NC2(C(=O)N3CCSC3=N2)C(F)(F)F,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-1.92353,2.88481,3.54049,4.63329,0.589923,>,66,,,"0,0,0,0,0",6.5821,1.10446,6.5821,5.52871,9.95297,,,,,,,,,,,,,,,
573,842517,644787,C1CSC(=N1)SCC(=O)NC2=CC=CC=C2F,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",7.00897,12.3339,11.1624,13.5054,12.1209,>,66,,,"0,0,0,0,0",13.6172,16.1603,13.7231,11.3919,20.6108,,,,,,,,,,,,,,,
574,49677541,2049450,CCOC1=CC=C(C=C1)N2C=C(C3=C2NC=NC3=S)C4=CC=CC=C4,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",5.45727,8.385,2.52955,5.02353,-0.289732,>,66,,,"0,0,0,0,0",-2.38743,-6.57653,-2.07326,-8.14744,-9.5089,,,,,,,,,,,,,,,
575,4255750,2942103,CC(C)C(C(=O)NC1=NCCS1)NC(=O)C2=CC=CC=C2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",4.04763,8.27656,10.0115,9.14404,5.24041,>,66,,,"0,0,0,0,0",15.7304,10.8082,15.6257,20.9668,13.217,,,,,,,,,,,,,,,
576,17407471,6875411,CC1=C(C=C(C=C1)C2=CC=C(O2)/C=N/NC(=S)NC3=CC=CC=C3)[N+](=O)[O-],Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",2.42952,3.17501,1.89703,5.092,-3.21492,>,66,,,"0,0,0,0,0",-12.0261,-9.5889,-3.54895,-10.1187,-9.48293,,,,,,,,,,,,,,,
577,26660603,1829082,C1=CC=C(C=C1)CC2=CC=[N+](C=C2)C3=NC4=CC=CC=C4N=C3N=S(=O)(C5=CC=C(S5)Br)[O-],Inactive,41,,,=,52.33,>,66,,,"0,0,0,0,0",8.60646,11.1624,5.19849,4.453,3.49451,>,66,,,"0,0,0,0,0",30.7833,21.0346,4.82218,1.5373,-5.35035,>,66,,,"0,0,0,0,0,0,0,0,0,0",69.2215,48.7135,30.6575,27.6482,8.58914,5.46835,7.02875,8.47767,2.57049,-0.21592
578,26666816,3246331,C1=CC=C2C=C3C(=CC2=C1)C=CC=C3C=C4C(=O)NC(=S)NC4=O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",0.406042,-2.25643,-1.19144,-0.55245,-0.339456,>,66,,,"0,0,0,0,0",8.53091,10.1204,8.00109,-1.21775,-4.92648,,,,,,,,,,,,,,,
579,856658,658010,CC1(CC2=C(CN1C)C(=NC(=C2C#N)SCC3=CC=CC=C3)N4CCOCC4)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",2.00352,1.25803,1.04503,-0.02,3.17501,>,66,,,"0,0,0,0,0",-2.27739,-1.74757,-9.5889,-18.4899,-4.18474,,,,,,,,,,,,,,,
580,17401705,3775000,CC1(CC2=C(C(=O)C1)C3(CCCCC3)C(=C(N2)SCC(=O)N)C#N)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-2.57593,0.938536,4.1335,6.26348,5.62449,>,66,,,"0,0,0,0,0",-9.16504,-4.29071,-7.46962,-5.56227,-3.1251,,,,,,,,,,,,,,,
581,17413384,2960713,COC1=CC=C(C=C1)N2C(=O)CC(C2=O)SCCC3=NC4=CC=CC=C4N3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",12.6534,11.5884,4.5595,4.24,2.85551,>,66,,,"0,0,0,0,0",-5.66823,1.21942,-0.793904,-7.68155,-9.69486,,,,,,,,,,,,,,,
582,17412481,5727548,CC1=C(C(=NN1C2=CC=CC=C2)C)/C=N/N3CCN(CC3)C4=CC=CC=C4OC,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",0.832039,3.06852,-1.40444,-1.29794,-4.17342,>,66,,,"0,0,0,0,0",-10.5426,-13.9334,-13.8275,-9.80082,-11.7082,,,,,,,,,,,,,,,
583,22401645,2759731,COC1=CC=CC=C1C(=S)N,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",8.92596,9.24545,9.88445,7.32847,2.32302,>,66,,,"0,0,0,0,0",-4.50264,-9.05908,-2.70126,-12.5559,-0.793904,,,,,,,,,,,,,,,
584,26728170,95699,CN(C)CC1=CC(=C(C=C1O)CN(C)C)O,Inactive,41,,,=,50.7,>,66,,,"0,0,0,0,0",27.2438,13.5054,8.92596,-2.46943,-4.59941,>,66,,,"0,0,0,0,0",48.9031,12.7695,-10.0128,-18.5958,-9.27101,>,66,,,"0,0,0,0,0,0,0,0,0,0",86.3858,43.5865,25.9764,5.02253,-8.01788,-8.57516,29.9888,-16.6,-14.5938,-7.01477
585,24841000,3572483,CCNC(=S)N=NC1=C(NC2=C1C=C(C=C2)[N+](=O)[O-])O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",14.3574,16.1679,13.8249,12.2274,12.7599,>,66,,,"0,0,0,0,0",3.12675,-2.70126,3.86851,3.97447,3.55062,,,,,,,,,,,,,,,
586,47194742,1016593,CC1=CC(=C(C=C1)C)NC(=S)NC(=O)C2=CC(=CN=C2)Br,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",7.32847,6.36998,2.85551,9.35195,1.36453,>,66,,,"0,0,0,0,0",-2.70126,-0.264085,1.21942,-7.46962,-4.07877,,,,,,,,,,,,,,,
587,22403569,1820046,CCN1C(=O)/C(=C/C2=CC(=C(C=C2)OC)OC)/N=C1SCC(=O)NCC3=CC=CO3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",9.35195,3.28151,1.36453,3.814,-1.08495,>,66,,,"0,0,0,0,0",-10.2247,-7.57558,-6.83384,-10.4366,-6.51594,,,,,,,,,,,,,,,
588,24810312,4433437,C1CCN(C1)C(=O)CSC2=NN=C(O2)C3COC4=CC=CC=C4O3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",0.512539,4.02701,3.70751,6.68948,5.41149,>,66,,,"0,0,0,0,0",-9.90678,-8.74119,-5.66823,-0.581979,7.78917,,,,,,,,,,,,,,,
589,17412712,1903933,CCN1C2=CC=CC=C2/C(=C/3\C(=O)N(C(=S)S3)C4=C(N(N(C4=O)C5=CC=CC=C5)C)C)/C1=O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",8.81946,7.22197,4.7725,8.18046,9.99094,>,66,,,"0,0,0,0,0",-3.01913,-3.76089,0.689599,-8.74119,-14.0394,,,,,,,,,,,,,,,
590,49819837,17576814,COC1=C(C2=C(C=C1)C3N(C2=O)[C@@H](CS3)C(=O)NC4CCCC4)OC,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",5.092,10.4169,4.98549,3.49451,4.1335,>,66,,,"0,0,0,0,0",-6.93981,-4.60859,-6.09209,-5.35035,-2.70126,,,,,,,,,,,,,,,
591,24819777,5141973,CC1=C(C2=C(C=C1)N=CC=C2)NC(=S)NC(=O)C3=CC=CC=C3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",3.28151,5.41149,2.53602,4.666,2.96202,>,66,,,"0,0,0,0,0",-15.205,-5.03245,-6.09209,-5.88017,-12.8738,,,,,,,,,,,,,,,
592,14724537,712470,C1CSC(=N1)SCC(=O)NC2=NC3=CC=CC=C3S2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",5.30499,4.1335,4.666,-0.765445,9.03245,>,66,,,"0,0,0,0,0",-16.0527,-12.7678,-17.2183,-10.4366,-8.21137,,,,,,,,,,,,,,,
593,17411896,886291,CC1=CC=C(C=C1)NC(=S)C2=CC=C(C=C2)OC,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",7.47127,11.8158,9.06073,17.5378,5.88182,>,66,,,"0,0,0,0,0",7.00897,2.32302,9.67144,10.6299,9.88445,,,,,,,,,,,,,,,
594,17385647,2561100,CC(=O)C1=CC=C(C=C1)OCCCC(=O)NC2=NCCS2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",13.9351,10.8621,14.147,17.8557,11.7098,>,66,,,"0,0,0,0,0",12.0144,8.92596,8.18046,8.39346,6.05048,,,,,,,,,,,,,,,
595,17401826,1907744,C1=CC=C(C=C1)CNC(=S)NNC(=S)NC2=CC=CC(=C2)C(F)(F)F,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",9.06073,15.5245,12.7695,14.7828,7.47127,>,66,,,"0,0,0,0,0",10.9494,7.32847,8.92596,7.32847,3.9205,,,,,,,,,,,,,,,
596,7968193,4667208,CCCNC(=O)NCCC1=C(NC2=CC=CC=C21)C,Inactive,41,,,=,45.9,=,61.489,,1,"0,0,0,0,0",59.6054,30.9952,35.3398,17.3259,15.1007,=,45.805,,1,"0,0,0,0,0",46.9461,34.1662,20.6408,23.9423,9.67144,=,30.442,,1.494,"0,0,0,0,0,0,0,0,0,0",50.2739,29.8773,12.1557,4.35379,-8.68662,-16.6,-14.4824,-11.9189,-7.01477,-1.55341
597,24831602,2323129,C1=CC=C(C=C1)C2=NN(C=C2C(=O)NC(=S)NCCO)C3=CC=CC=C3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",8.21302,14.8887,14.7828,7.57724,7.25935,>,66,,,"0,0,0,0,0",7.86097,7.00897,8.92596,9.03245,11.1624,,,,,,,,,,,,,,,
598,24795679,972966,CC1=C(C=CC(=C1)Cl)NC(=S)NC(C)(C)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",16.3722,10.0144,13.6172,12.8754,13.0874,>,66,,,"0,0,0,0,0",10.0974,12.7599,7.32847,8.18046,12.5469,,,,,,,,,,,,,,,
599,26671562,5238873,CC1=C(C=C(C=C1)C(=O)O)NC(=S)NC(=O)C2=CC=C(O2)C3=CC=C(C=C3)Cl,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",6.41164,9.16669,16.4782,13.6172,23.4718,>,66,,,"0,0,0,0,0",14.8899,8.81946,15.1029,12.8664,11.2689,,,,,,,,,,,,,,,
600,4248742,2135078,COC1=CC2=C(C=C1)NC3=C2NC(=S)N(C3=O)CCCCC(=O)N4CCC(CC4)C(=O)N,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",13.7231,6.51761,17.7498,13.6172,12.2396,>,66,,,"0,0,0,0,0",2.11002,4.666,11.1624,5.51799,6.47648,,,,,,,,,,,,,,,
601,14738891,5167419,CC1=CC2=C(N1C)C=CC(=C2)CNC(=O)C3=CC=C(C=C3)S(=O)(=O)N(C)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",20.3988,10.2263,12.6635,5.88182,14.8887,>,66,,,"0,0,0,0,0",5.092,5.092,9.24545,11.6949,9.35195,,,,,,,,,,,,,,,
602,26668722,644532,COC1=CC2=C(C=C1)C=C(C(=O)N2)C(C3=NN=NN3C4CCCC4)N5CCC6=CC=CC=C6C5,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",6.62356,7.47127,4.82218,5.66989,1.74924,>,66,,,"0,0,0,0,0",-2.89542,-4.06692,-1.72394,2.53602,0.193039,,,,,,,,,,,,,,,
603,4258600,893573,C1COCCN1C2=CC=C(C=C2)C(=S)N3CCOCC3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-1.00583,-7.89347,-1.42968,8.84881,2.27906,>,66,,,"0,0,0,0,0",-2.78893,2.32302,7.22197,6.36998,11.3754,,,,,,,,,,,,,,,
604,17407883,2791249,CCOC(=O)C1=C(SC=C1C2=CC=CC=C2)NC(=O)C3CCCO3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-6.09209,3.86851,-3.443,6.30567,6.09374,>,66,,,"0,0,0,0,0",3.49451,3.38801,7.75447,10.2039,8.39346,,,,,,,,,,,,,,,
605,24834165,5723885,CCOC(=S)N/C(=N\S(=O)(=O)C)/C1=CC=CC=C1,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-2.27739,-1.32372,5.352,0.689599,3.55062,>,66,,,"0,0,0,0,0",3.28151,4.24,2.96202,8.92596,11.1624,,,,,,,,,,,,,,,
606,85147393,22416276,C1=CC=C2C(=C1)C(=O)N(S2)C3=CC=C(C=C3)F,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",9.06073,7.6832,-3.86685,2.91483,-0.581979,>,66,,,"0,0,0,0,0",10.5234,10.4169,4.666,3.06852,5.83749,,,,,,,,,,,,,,,
607,4258708,1729132,CCOCC(=O)NC1=NC2=C(S1)C=C(C=C2)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",8.53091,5.66989,7.47127,6.62356,3.86851,>,66,,,"0,0,0,0,0",10.2039,11.1624,8.39346,-0.55245,3.814,,,,,,,,,,,,,,,
608,7970977,4155588,CC1=CC2=C(N1C)C=CC(=C2)CNS(=O)(=O)C3=CC=C(C=C3)OC,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",23.7897,15.4186,10.7561,9.16669,4.18639,>,66,,,"0,0,0,0,0",9.99094,7.43497,8.07396,6.15698,3.38801,,,,,,,,,,,,,,,
609,57258299,25162356,CC(C(=O)NC1CC1)OC(=O)CSC2=CC=C(C=C2)[N+](=O)[O-],Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",3.76254,7.6832,5.0341,3.0208,-0.370039,>,66,,,"0,0,0,0,0",8.18046,5.51799,7.64796,8.28696,3.70751,,,,,,,,,,,,,,,
610,89854860,244091,COC1=CC2=C(C=C1)OC(=CC2=O)C3=CC=NC=C3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",6.94146,6.72953,6.09374,0.265734,1.85519,>,66,,,"0,0,0,0,0",1.36453,2.42952,2.85551,0.938536,0.299544,,,,,,,,,,,,,,,
611,17513402,1864534,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)NC(=S)NC(=O)C3=CC=C(C=C3)Br,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",5.98779,2.27906,5.56392,4.50429,5.56392,>,66,,,"0,0,0,0,0",6.68948,10.4169,10.3104,5.83749,6.47648,,,,,,,,,,,,,,,
612,17511549,1962220,CCOC(=O)C1=C(N(C(=S)S1)C)NC(=O)C2=CC=CC=C2Cl,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-1.21775,4.61026,2.91483,6.09374,3.86851,>,66,,,"0,0,0,0,0",8.18046,10.0974,6.15698,9.77794,13.2924,,,,,,,,,,,,,,,
613,17509456,4162281,CC1=CC(=CC(=C1)NC(=S)NC2=C(SC=C2)C(=O)OC)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",0.477658,5.56392,3.97447,5.66989,5.45797,>,66,,,"0,0,0,0,0",4.02701,5.30499,10.2039,3.9205,6.15698,,,,,,,,,,,,,,,
614,22400690,1232207,C1COCCN1C(=O)CN2C(=O)/C(=C\C3=CC=NC=C3)/SC2=O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",6.30567,7.3653,-4.18474,8.42495,2.49098,>,66,,,"0,0,0,0,0",7.75447,7.32847,9.99094,6.36998,7.54147,,,,,,,,,,,,,,,
615,57264285,25162983,C1=CC2=C3C(=CC(=C2C(=C1)S(=O)(=O)N)[N+](=O)[O-])N=C(C(=N3)[O-])[O-].[Na+],Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-19.2316,0.265734,1.74924,5.88182,12.8754,>,66,,,"0,0,0,0,0",-35.5906,-4.27991,-0.765445,6.90247,5.51799,,,,,,,,,,,,,,,
616,24818859,1488028,CCOC(=O)COC1=CC2=C(C=C1)C(=C3N2C=CC=C3)C#N,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-1.64162,45.6182,29.9356,22.942,10.7561,>,66,,,"0,0,0,0,0",-22.0652,29.6932,16.0614,16.1679,13.8249,>,66,,,"0,0,0,0,0,0,0,0,0,0",12.6016,14.6078,8.03185,12.713,14.3849,9.48079,11.487,10.5954,8.47767,12.6016
617,14729567,1920294,CCOC(=O)C1=C(SC2=C1CCC3=CC=CC=C32)NC(=O)C4=CC=CC=C4,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",0.15978,-13.0857,1.32537,2.49098,5.56392,>,66,,,"0,0,0,0,0",-4.06692,1.57753,1.57753,4.7725,4.98549,,,,,,,,,,,,,,,
618,3711137,2866904,CC(C)C1=C2CCCCC2NC(=O)N1,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",6.51761,6.62356,13.6172,7.47127,11.7098,>,66,,,"0,0,0,0,0",5.30499,0.725534,0.406042,0.619036,6.47648,,,,,,,,,,,,,,,
619,49641402,906418,CCOC(=O)C1=C2C3=CC=CC=C3C(=O)C4=C2C(=CC=C4)N(C1=O)C,Inactive,41,,,=,37.24,>,66,,,"0,0,0,0,0",54.8371,41.3797,49.6449,34.1741,26.3328,>,66,,,"0,0,0,0,0",23.4098,31.1842,27.3503,20.1083,11.9079,=,5.668,,1.008,"0,0,0,0,0,0,0,0,0,0",53.5061,42.3605,38.0136,28.7628,20.4035,10.4839,-5.23146,-6.79186,-3.55961,-7.23768
620,7970310,3604219,CCC(C(=O)NC1=NN=C(S1)C(C)C)SCC(=O)OC,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",18.2796,10.0144,16.6901,13.7231,12.6635,>,66,,,"0,0,0,0,0",15.3159,14.6769,8.18046,13.5054,9.88445,,,,,,,,,,,,,,,
